case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Benoni_Defense_Old_Benoni_27430,d4,2025-04-01 12:00:00,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,c5,2025-04-01 12:00:01,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,c3,2025-04-01 12:00:02,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,Nf6,2025-04-01 12:00:03,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,d5,2025-04-01 12:00:04,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,e6,2025-04-01 12:00:05,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,c4,2025-04-01 12:00:06,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,d6,2025-04-01 12:00:07,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,Nc3,2025-04-01 12:00:08,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27430,Be7,2025-04-01 12:00:09,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,d4,2025-04-01 12:00:00,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,c5,2025-04-01 12:00:01,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,Nc3,2025-04-01 12:00:02,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,cxd4,2025-04-01 12:00:03,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,Qxd4,2025-04-01 12:00:04,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,Nc6,2025-04-01 12:00:05,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,Qa4,2025-04-01 12:00:06,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,Nf6,2025-04-01 12:00:07,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,Bg5,2025-04-01 12:00:08,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27431,d6,2025-04-01 12:00:09,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,d4,2025-04-01 12:00:00,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,c5,2025-04-01 12:00:01,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,c4,2025-04-01 12:00:02,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,e6,2025-04-01 12:00:03,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,Nf3,2025-04-01 12:00:04,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,f5,2025-04-01 12:00:05,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,d5,2025-04-01 12:00:06,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,g6,2025-04-01 12:00:07,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,Nc3,2025-04-01 12:00:08,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27432,d6,2025-04-01 12:00:09,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,d4,2025-04-01 12:00:00,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,c5,2025-04-01 12:00:01,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,d5,2025-04-01 12:00:02,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,d6,2025-04-01 12:00:03,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,c4,2025-04-01 12:00:04,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,b5,2025-04-01 12:00:05,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,cxb5,2025-04-01 12:00:06,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,a6,2025-04-01 12:00:07,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,Nc3,2025-04-01 12:00:08,High Elo,Benoni_Defense_Old_Benoni
High_Elo_Benoni_Defense_Old_Benoni_27433,Nf6,2025-04-01 12:00:09,High Elo,Benoni_Defense_Old_Benoni
