case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Bishop's_Opening_22943,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,d6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,d3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,Nc6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,Nf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,Nb4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,Bg5,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22943,f6,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,d6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,Nf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,Nc6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,O-O,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,Bg4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,d4,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22944,Nxd4,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,Nh6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,Nc3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,c6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,Nf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,Bb4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,O-O,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22945,Bxc3,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Qf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Nf6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Nh3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Bb4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,c3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22946,Ba5,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,h6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,Nf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,d6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,Nc3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,Bg4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,h3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22947,Bxf3,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,d6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,Nf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,Be6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,Bxe6,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,fxe6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,d4,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22948,exd4,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,f6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,Qh5+,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,g6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,Qf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,Nc6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,Bxg8,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22949,Rxg8,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,Nc3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,d6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,f4,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,exf4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,Nf3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22950,Be6,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Qh4,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Qf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Be7,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Qxf7+,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Kd8,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Qxg7,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22951,Qxe4+,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Nc3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Nf6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,d3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Bb4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Bd2,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22952,Bxc3,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,d4,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,d5,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,Bxd5,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,exd4,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,Nf3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22953,Bd7,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Nh6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Nf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Qf6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,d3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Bc5,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Be3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22954,Bb4+,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,d6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,d3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,Nf6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,Nf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,Nc6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,O-O,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22955,Bg4,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,Nf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,Nf6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,d3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,Bc5,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,Bg5,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22956,d6,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,Qf3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,Nf6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,Nh3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,Bc5,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,d3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22957,O-O,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,d3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,Bc5,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,c3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,Qf6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,f3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22958,Nge7,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,d4,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,exd4,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,Nf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,h6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,Nxd4,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22959,Bc5,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,Nc6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,Qh5,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,g6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,Qf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,Nf6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,d3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22960,Nd4,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,e5,2025-04-01 12:00:01,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,Bc4,2025-04-01 12:00:02,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,d6,2025-04-01 12:00:03,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,h3,2025-04-01 12:00:04,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,Nc6,2025-04-01 12:00:05,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,Nf3,2025-04-01 12:00:06,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,Be6,2025-04-01 12:00:07,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,d3,2025-04-01 12:00:08,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22961,Bxc4,2025-04-01 12:00:09,Low Elo,Bishop's_Opening
Low_Elo_Bishop's_Opening_22962,e4,2025-04-01 12:00:00,Low Elo,Bishop's_Opening
