case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Caro-Kann_Defense_2320,e4,2025-04-01 12:00:00,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,c6,2025-04-01 12:00:01,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,Nf3,2025-04-01 12:00:02,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,d5,2025-04-01 12:00:03,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,e5,2025-04-01 12:00:04,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,f6,2025-04-01 12:00:05,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,d4,2025-04-01 12:00:06,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,fxe5,2025-04-01 12:00:07,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,dxe5,2025-04-01 12:00:08,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2320,g6,2025-04-01 12:00:09,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,e4,2025-04-01 12:00:00,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,c6,2025-04-01 12:00:01,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,g3,2025-04-01 12:00:02,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,d5,2025-04-01 12:00:03,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,e5,2025-04-01 12:00:04,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,c5,2025-04-01 12:00:05,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,Bg2,2025-04-01 12:00:06,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,d4,2025-04-01 12:00:07,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,d3,2025-04-01 12:00:08,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2321,Nc6,2025-04-01 12:00:09,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,e4,2025-04-01 12:00:00,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,c6,2025-04-01 12:00:01,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,Qf3,2025-04-01 12:00:02,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,d5,2025-04-01 12:00:03,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,exd5,2025-04-01 12:00:04,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,cxd5,2025-04-01 12:00:05,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,c3,2025-04-01 12:00:06,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,Nf6,2025-04-01 12:00:07,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,c4,2025-04-01 12:00:08,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2322,Bg4,2025-04-01 12:00:09,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,e4,2025-04-01 12:00:00,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,c6,2025-04-01 12:00:01,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,Nf3,2025-04-01 12:00:02,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,d5,2025-04-01 12:00:03,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,exd5,2025-04-01 12:00:04,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,cxd5,2025-04-01 12:00:05,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,Nc3,2025-04-01 12:00:06,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,Nf6,2025-04-01 12:00:07,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,d4,2025-04-01 12:00:08,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2323,a6,2025-04-01 12:00:09,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,e4,2025-04-01 12:00:00,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,c6,2025-04-01 12:00:01,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,d4,2025-04-01 12:00:02,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,e6,2025-04-01 12:00:03,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,Nf3,2025-04-01 12:00:04,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,d5,2025-04-01 12:00:05,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,Nc3,2025-04-01 12:00:06,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,dxe4,2025-04-01 12:00:07,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,Nxe4,2025-04-01 12:00:08,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2324,f5,2025-04-01 12:00:09,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,e4,2025-04-01 12:00:00,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,c6,2025-04-01 12:00:01,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,Nf3,2025-04-01 12:00:02,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,d5,2025-04-01 12:00:03,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,e5,2025-04-01 12:00:04,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,f6,2025-04-01 12:00:05,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,d4,2025-04-01 12:00:06,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,fxe5,2025-04-01 12:00:07,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,dxe5,2025-04-01 12:00:08,Low Elo,Caro-Kann_Defense
Low_Elo_Caro-Kann_Defense_2325,Nd7,2025-04-01 12:00:09,Low Elo,Caro-Kann_Defense
