case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Horwitz_Defense_37906,d4,2025-04-01 12:00:00,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,e6,2025-04-01 12:00:01,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,Nc3,2025-04-01 12:00:02,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,d5,2025-04-01 12:00:03,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,e4,2025-04-01 12:00:04,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,dxe4,2025-04-01 12:00:05,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,Nxe4,2025-04-01 12:00:06,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,Nf6,2025-04-01 12:00:07,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,Bg5,2025-04-01 12:00:08,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37906,Be7,2025-04-01 12:00:09,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,d4,2025-04-01 12:00:00,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,e6,2025-04-01 12:00:01,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,c4,2025-04-01 12:00:02,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,d5,2025-04-01 12:00:03,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,e3,2025-04-01 12:00:04,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,Nf6,2025-04-01 12:00:05,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,Nf3,2025-04-01 12:00:06,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,Be7,2025-04-01 12:00:07,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,Nc3,2025-04-01 12:00:08,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37907,c5,2025-04-01 12:00:09,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,d4,2025-04-01 12:00:00,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,e6,2025-04-01 12:00:01,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,c4,2025-04-01 12:00:02,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,Nf6,2025-04-01 12:00:03,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,Nc3,2025-04-01 12:00:04,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,d5,2025-04-01 12:00:05,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,cxd5,2025-04-01 12:00:06,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,Bb4,2025-04-01 12:00:07,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,a3,2025-04-01 12:00:08,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37908,Bxc3+,2025-04-01 12:00:09,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,d4,2025-04-01 12:00:00,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,e6,2025-04-01 12:00:01,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,c4,2025-04-01 12:00:02,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,Ne7,2025-04-01 12:00:03,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,Nc3,2025-04-01 12:00:04,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,Ng6,2025-04-01 12:00:05,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,e4,2025-04-01 12:00:06,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,Bb4,2025-04-01 12:00:07,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,a3,2025-04-01 12:00:08,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37909,Bxc3+,2025-04-01 12:00:09,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,d4,2025-04-01 12:00:00,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,e6,2025-04-01 12:00:01,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,c4,2025-04-01 12:00:02,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,d5,2025-04-01 12:00:03,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,cxd5,2025-04-01 12:00:04,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,Nf6,2025-04-01 12:00:05,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,dxe6,2025-04-01 12:00:06,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,Bxe6,2025-04-01 12:00:07,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,Nf3,2025-04-01 12:00:08,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37910,Bd6,2025-04-01 12:00:09,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,d4,2025-04-01 12:00:00,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,e6,2025-04-01 12:00:01,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,c4,2025-04-01 12:00:02,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,d5,2025-04-01 12:00:03,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,Nc3,2025-04-01 12:00:04,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,c6,2025-04-01 12:00:05,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,Bf4,2025-04-01 12:00:06,High Elo,Horwitz_Defense
High_Elo_Horwitz_Defense_37911,Nf6,2025-04-01 12:00:07,High Elo,Horwitz_Defense
