case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Horwitz_Defense_15665,d4,2025-04-01 12:00:00,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,e6,2025-04-01 12:00:01,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,Nf3,2025-04-01 12:00:02,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,d5,2025-04-01 12:00:03,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,e3,2025-04-01 12:00:04,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,c5,2025-04-01 12:00:05,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,dxc5,2025-04-01 12:00:06,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,Bxc5,2025-04-01 12:00:07,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,Bb5+,2025-04-01 12:00:08,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15665,Nc6,2025-04-01 12:00:09,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,d4,2025-04-01 12:00:00,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,e6,2025-04-01 12:00:01,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,Nf3,2025-04-01 12:00:02,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,h6,2025-04-01 12:00:03,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,Ne5,2025-04-01 12:00:04,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,d6,2025-04-01 12:00:05,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,Ng4,2025-04-01 12:00:06,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,c5,2025-04-01 12:00:07,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,c3,2025-04-01 12:00:08,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15666,cxd4,2025-04-01 12:00:09,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,d4,2025-04-01 12:00:00,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,e6,2025-04-01 12:00:01,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,e3,2025-04-01 12:00:02,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,d5,2025-04-01 12:00:03,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,Nf3,2025-04-01 12:00:04,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,c5,2025-04-01 12:00:05,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,c3,2025-04-01 12:00:06,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,cxd4,2025-04-01 12:00:07,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,cxd4,2025-04-01 12:00:08,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15667,Nf6,2025-04-01 12:00:09,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,d4,2025-04-01 12:00:00,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,e6,2025-04-01 12:00:01,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,Nf3,2025-04-01 12:00:02,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,Qf6,2025-04-01 12:00:03,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,Nc3,2025-04-01 12:00:04,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,c6,2025-04-01 12:00:05,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,Bg5,2025-04-01 12:00:06,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,Qg6,2025-04-01 12:00:07,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,e3,2025-04-01 12:00:08,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15668,h6,2025-04-01 12:00:09,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15669,d4,2025-04-01 12:00:00,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15669,e6,2025-04-01 12:00:01,Low Elo,Horwitz_Defense
Low_Elo_Horwitz_Defense_15669,Bf4,2025-04-01 12:00:02,Low Elo,Horwitz_Defense
