case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Indian_Defense_44129,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,e3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,e6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,Nf3,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,b6,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,c4,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,Bb7,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,b3,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44129,Be7,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,Nc3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,g6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,e3,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,d6,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,e4,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,Bg7,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,e5,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44130,O-O,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,Nc3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,g6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,e4,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,d6,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,Nf3,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,Bg7,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,Be2,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44131,O-O,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,Nc3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,e6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,Nf3,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,d5,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,Bg5,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,c5,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,dxc5,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44132,Bxc5,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,Bf4,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,b6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,Nf3,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,Bb7,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,Nc3,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,a6,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,h3,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44133,e6,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,Bf4,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,d5,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,e3,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,c5,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,Nf3,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,Nc6,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,c3,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44134,Bf5,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,e3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,g6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,Nf3,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,d5,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,Bd3,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,Bg7,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,Nbd2,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44135,c5,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,Nc3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,d6,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,e4,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,c6,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,Bg5,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,Qa5,2025-04-01 12:00:07,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,Bxf6,2025-04-01 12:00:08,High Elo,Indian_Defense
High_Elo_Indian_Defense_44136,gxf6,2025-04-01 12:00:09,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,d4,2025-04-01 12:00:00,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,Nf6,2025-04-01 12:00:01,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,c3,2025-04-01 12:00:02,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,d5,2025-04-01 12:00:03,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,Bg5,2025-04-01 12:00:04,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,e6,2025-04-01 12:00:05,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,e3,2025-04-01 12:00:06,High Elo,Indian_Defense
High_Elo_Indian_Defense_44137,Be7,2025-04-01 12:00:07,High Elo,Indian_Defense
