case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Modern_Defense_40712,e4,2025-04-01 12:00:00,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,g6,2025-04-01 12:00:01,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,d4,2025-04-01 12:00:02,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,Bg7,2025-04-01 12:00:03,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,c4,2025-04-01 12:00:04,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,d6,2025-04-01 12:00:05,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,Nf3,2025-04-01 12:00:06,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,Nf6,2025-04-01 12:00:07,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,Nc3,2025-04-01 12:00:08,High Elo,Modern_Defense
High_Elo_Modern_Defense_40712,O-O,2025-04-01 12:00:09,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,e4,2025-04-01 12:00:00,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,g6,2025-04-01 12:00:01,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,d4,2025-04-01 12:00:02,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,Bg7,2025-04-01 12:00:03,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,Nf3,2025-04-01 12:00:04,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,d5,2025-04-01 12:00:05,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,e5,2025-04-01 12:00:06,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,e6,2025-04-01 12:00:07,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,Bd3,2025-04-01 12:00:08,High Elo,Modern_Defense
High_Elo_Modern_Defense_40713,Nd7,2025-04-01 12:00:09,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,e4,2025-04-01 12:00:00,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,g6,2025-04-01 12:00:01,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,Nf3,2025-04-01 12:00:02,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,Bg7,2025-04-01 12:00:03,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,Bc4,2025-04-01 12:00:04,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,e6,2025-04-01 12:00:05,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,d3,2025-04-01 12:00:06,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,Ne7,2025-04-01 12:00:07,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,c3,2025-04-01 12:00:08,High Elo,Modern_Defense
High_Elo_Modern_Defense_40714,O-O,2025-04-01 12:00:09,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,e4,2025-04-01 12:00:00,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,g6,2025-04-01 12:00:01,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,Nc3,2025-04-01 12:00:02,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,Bg7,2025-04-01 12:00:03,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,d4,2025-04-01 12:00:04,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,d6,2025-04-01 12:00:05,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,Nf3,2025-04-01 12:00:06,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,Nd7,2025-04-01 12:00:07,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,Be3,2025-04-01 12:00:08,High Elo,Modern_Defense
High_Elo_Modern_Defense_40715,e5,2025-04-01 12:00:09,High Elo,Modern_Defense
