case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Philidor_Defense_0,e4,2025-04-01 12:00:00,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,e5,2025-04-01 12:00:01,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,Nf3,2025-04-01 12:00:02,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,d6,2025-04-01 12:00:03,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,Nc3,2025-04-01 12:00:04,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,Nc6,2025-04-01 12:00:05,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,d3,2025-04-01 12:00:06,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,Nd4,2025-04-01 12:00:07,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,Nd5,2025-04-01 12:00:08,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_0,Nxf3+,2025-04-01 12:00:09,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,e4,2025-04-01 12:00:00,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,e5,2025-04-01 12:00:01,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,Nf3,2025-04-01 12:00:02,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,d6,2025-04-01 12:00:03,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,Bc4,2025-04-01 12:00:04,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,Nc6,2025-04-01 12:00:05,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,d4,2025-04-01 12:00:06,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,Be6,2025-04-01 12:00:07,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,d5,2025-04-01 12:00:08,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_1,Bg4,2025-04-01 12:00:09,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,e4,2025-04-01 12:00:00,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,e5,2025-04-01 12:00:01,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,Nf3,2025-04-01 12:00:02,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,d6,2025-04-01 12:00:03,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,Nc3,2025-04-01 12:00:04,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,Be6,2025-04-01 12:00:05,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,d4,2025-04-01 12:00:06,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,Nf6,2025-04-01 12:00:07,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,d5,2025-04-01 12:00:08,Low Elo,Philidor_Defense
Low_Elo_Philidor_Defense_2,Bd7,2025-04-01 12:00:09,Low Elo,Philidor_Defense
