case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Pirc_Defense_29317,e4,2025-04-01 12:00:00,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,d6,2025-04-01 12:00:01,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,d4,2025-04-01 12:00:02,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,Nf6,2025-04-01 12:00:03,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,Nc3,2025-04-01 12:00:04,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,g6,2025-04-01 12:00:05,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,h4,2025-04-01 12:00:06,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,h5,2025-04-01 12:00:07,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,Bc4,2025-04-01 12:00:08,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29317,Bg7,2025-04-01 12:00:09,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,e4,2025-04-01 12:00:00,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,d6,2025-04-01 12:00:01,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,d4,2025-04-01 12:00:02,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,Nf6,2025-04-01 12:00:03,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,e5,2025-04-01 12:00:04,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,dxe5,2025-04-01 12:00:05,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,dxe5,2025-04-01 12:00:06,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,Qxd1+,2025-04-01 12:00:07,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,Kxd1,2025-04-01 12:00:08,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29318,Ng4,2025-04-01 12:00:09,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29319,e4,2025-04-01 12:00:00,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29319,d6,2025-04-01 12:00:01,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29319,d4,2025-04-01 12:00:02,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29319,Nf6,2025-04-01 12:00:03,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29319,Nc3,2025-04-01 12:00:04,High Elo,Pirc_Defense
High_Elo_Pirc_Defense_29319,e6,2025-04-01 12:00:05,High Elo,Pirc_Defense
