case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Queen's_Pawn_Game_32982,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,d6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,Nf3,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,g6,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,Bg5,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,Bg7,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,Nbd2,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,Nf6,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,e4,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32982,c5,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,c6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,c4,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,d5,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,Nf3,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,Nf6,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,Nc3,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,Bg4,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,e3,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32983,e6,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,c6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,Bg5,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,d5,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,e3,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,h6,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,Bh4,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,Bf5,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,Nf3,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32984,Nf6,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game
High_Elo_Queen's_Pawn_Game_32985,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game
