case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Queen's_Pawn_Game_9259,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,d6,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,e4,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,Nd7,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,Nf3,2025-04-01 12:00:04,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,c6,2025-04-01 12:00:05,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,Bf4,2025-04-01 12:00:06,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,h6,2025-04-01 12:00:07,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,Bd3,2025-04-01 12:00:08,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9259,Qc7,2025-04-01 12:00:09,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,f6,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,Bf4,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,e5,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,dxe5,2025-04-01 12:00:04,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,Nc6,2025-04-01 12:00:05,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,exf6,2025-04-01 12:00:06,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,Nxf6,2025-04-01 12:00:07,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,Nc3,2025-04-01 12:00:08,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9260,Bd6,2025-04-01 12:00:09,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,d5,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,c3,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,Nf6,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,e4,2025-04-01 12:00:04,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,dxe4,2025-04-01 12:00:05,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,f4,2025-04-01 12:00:06,Low Elo,Queen's_Pawn_Game
Low_Elo_Queen's_Pawn_Game_9261,g6,2025-04-01 12:00:07,Low Elo,Queen's_Pawn_Game
