case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,d5,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,Bf4,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,Nf6,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,e3,2025-04-01 12:00:04,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,Nc6,2025-04-01 12:00:05,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,c3,2025-04-01 12:00:06,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,Bf5,2025-04-01 12:00:07,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,Nd2,2025-04-01 12:00:08,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13085,Ne4,2025-04-01 12:00:09,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,d5,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,Bf4,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,e6,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,e3,2025-04-01 12:00:04,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,Nf6,2025-04-01 12:00:05,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,Nf3,2025-04-01 12:00:06,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,Nbd7,2025-04-01 12:00:07,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,c3,2025-04-01 12:00:08,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13086,h6,2025-04-01 12:00:09,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,d5,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,Bf4,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,Nc6,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,Nf3,2025-04-01 12:00:04,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,Bf5,2025-04-01 12:00:05,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,e3,2025-04-01 12:00:06,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,Nf6,2025-04-01 12:00:07,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,Bd3,2025-04-01 12:00:08,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13087,e6,2025-04-01 12:00:09,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13088,d4,2025-04-01 12:00:00,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13088,d5,2025-04-01 12:00:01,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13088,Bf4,2025-04-01 12:00:02,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
Low_Elo_Queen's_Pawn_Game_Accelerated_London_System_13088,Nc6,2025-04-01 12:00:03,Low Elo,Queen's_Pawn_Game_Accelerated_London_System
