case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,g6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,Nc3,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,Bg7,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,e4,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,d6,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,Be3,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,Nf6,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,f3,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36526,O-O,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,g6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,Bf4,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,Bg7,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,Nc3,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,d6,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,e4,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,Nf6,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,f3,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36527,O-O,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,g6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,c4,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,Bg7,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,Nc3,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,Nf6,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,Nf3,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,O-O,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,Bg5,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36528,d6,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,g6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,Nf3,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,Bg7,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,g3,2025-04-01 12:00:04,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,d6,2025-04-01 12:00:05,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,Bg2,2025-04-01 12:00:06,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,Bg4,2025-04-01 12:00:07,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,O-O,2025-04-01 12:00:08,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36529,Bxf3,2025-04-01 12:00:09,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36530,d4,2025-04-01 12:00:00,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36530,g6,2025-04-01 12:00:01,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36530,Be3,2025-04-01 12:00:02,High Elo,Queen's_Pawn_Game_Modern_Defense
High_Elo_Queen's_Pawn_Game_Modern_Defense_36530,Bh6,2025-04-01 12:00:03,High Elo,Queen's_Pawn_Game_Modern_Defense
