case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Scandinavian_Defense_42684,e4,2025-04-01 12:00:00,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,d5,2025-04-01 12:00:01,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,e5,2025-04-01 12:00:02,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,c5,2025-04-01 12:00:03,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,Nf3,2025-04-01 12:00:04,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,d4,2025-04-01 12:00:05,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,Be2,2025-04-01 12:00:06,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,Nc6,2025-04-01 12:00:07,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,O-O,2025-04-01 12:00:08,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42684,Bf5,2025-04-01 12:00:09,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,e4,2025-04-01 12:00:00,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,d5,2025-04-01 12:00:01,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,Nc3,2025-04-01 12:00:02,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,d4,2025-04-01 12:00:03,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,Nce2,2025-04-01 12:00:04,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,c5,2025-04-01 12:00:05,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,d3,2025-04-01 12:00:06,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,Nc6,2025-04-01 12:00:07,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,f4,2025-04-01 12:00:08,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42685,Bg4,2025-04-01 12:00:09,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42686,e4,2025-04-01 12:00:00,High Elo,Scandinavian_Defense
High_Elo_Scandinavian_Defense_42686,d5,2025-04-01 12:00:01,High Elo,Scandinavian_Defense
