case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Nc3,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Qc6,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Bb5,2025-04-01 12:00:06,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Qxb5,2025-04-01 12:00:07,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Nxb5,2025-04-01 12:00:08,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17568,Kd8,2025-04-01 12:00:09,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,Nf3,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,Qe6+,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,Be2,2025-04-01 12:00:06,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,Nc6,2025-04-01 12:00:07,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,O-O,2025-04-01 12:00:08,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17569,Nf6,2025-04-01 12:00:09,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,Nf3,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,Qd6,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,Nc3,2025-04-01 12:00:06,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,c6,2025-04-01 12:00:07,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,d4,2025-04-01 12:00:08,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17570,Nf6,2025-04-01 12:00:09,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,d4,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,Qe4+,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,Be3,2025-04-01 12:00:06,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,e6,2025-04-01 12:00:07,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,Nc3,2025-04-01 12:00:08,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17571,Qc6,2025-04-01 12:00:09,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,d4,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,Nc6,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,c4,2025-04-01 12:00:06,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,Qe6+,2025-04-01 12:00:07,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,Ne2,2025-04-01 12:00:08,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17572,Qxc4,2025-04-01 12:00:09,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,Nc3,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,Qe6+,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,Be2,2025-04-01 12:00:06,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,Qg6,2025-04-01 12:00:07,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,g3,2025-04-01 12:00:08,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17573,b6,2025-04-01 12:00:09,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17574,e4,2025-04-01 12:00:00,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17574,d5,2025-04-01 12:00:01,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17574,exd5,2025-04-01 12:00:02,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17574,Qxd5,2025-04-01 12:00:03,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17574,c4,2025-04-01 12:00:04,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
Low_Elo_Scandinavian_Defense_Mieses-Kotroc_Variation_17574,Qa5,2025-04-01 12:00:05,Low Elo,Scandinavian_Defense_Mieses-Kotroc_Variation
