case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Van't_Kruijs_Opening_31208,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,c6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,f4,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,d6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,Nf3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,Nf6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,d3,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,Bg4,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,Be2,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31208,Bxf3,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,d5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,b3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,Nc6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,Bb2,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,Nf6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,f3,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,e5,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,Qe2,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31209,d4,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31210,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31210,c5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
