case:concept:name,concept:name,time:timestamp,Bracket,Opening
Low_Elo_Van't_Kruijs_Opening_6484,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,e5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,d4,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,e4,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,Nc3,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,a6,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,Nxe4,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,d5,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,Nc5,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6484,Bxc5,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,g5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,Qh5,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,Nf6,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,Qxf7+,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,Kxf7,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,b3,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,b5,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,b4,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6485,Bb7,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,d5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,d3,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,e5,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,d4,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,e4,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,Nf3,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,exf3,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,gxf3,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6486,Qf6,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,g6,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,d3,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,Bg7,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,c4,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,Nf6,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,f4,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,O-O,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,Nc3,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6487,d6,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,e5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,Nf3,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,Nc6,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,Be2,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,Bc5,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,d4,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,exd4,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,exd4,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6488,Bb6,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,e5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Nf3,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Nf6,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Nxe5,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,d6,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Ng4,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Nxg4,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Be2,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6489,Nf6,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,e5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,c3,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,d6,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,h3,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,Be7,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,Qa4+,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,c6,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,b4,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6490,b5,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,e5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,e4,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,Nf6,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,Nf3,2025-04-01 12:00:04,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,Bc5,2025-04-01 12:00:05,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,Bd3,2025-04-01 12:00:06,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,d6,2025-04-01 12:00:07,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,Bc4,2025-04-01 12:00:08,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6491,O-O,2025-04-01 12:00:09,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6492,e3,2025-04-01 12:00:00,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6492,e5,2025-04-01 12:00:01,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6492,Qh5,2025-04-01 12:00:02,Low Elo,Van't_Kruijs_Opening
Low_Elo_Van't_Kruijs_Opening_6492,Nc6,2025-04-01 12:00:03,Low Elo,Van't_Kruijs_Opening
