WhiteElo,BlackElo,Result,Moves,OpeningName
1806,1816,0-1,"['d4', 'c5', 'c3', 'Nf6', 'd5', 'e6', 'c4', 'd6', 'Nc3', 'Be7']",Benoni Defense: Old Benoni
2401,2379,0-1,"['d4', 'c5', 'Nc3', 'cxd4', 'Qxd4', 'Nc6', 'Qa4', 'Nf6', 'Bg5', 'd6']",Benoni Defense: Old Benoni
1880,1900,0-1,"['d4', 'c5', 'c4', 'e6', 'Nf3', 'f5', 'd5', 'g6', 'Nc3', 'd6']",Benoni Defense: Old Benoni
1892,1895,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'b5', 'cxb5', 'a6', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
2094,2089,1-0,"['d4', 'c5', 'Nf3', 'b6', 'c3', 'Bb7', 'Bf4', 'd6', 'Nbd2', 'Nf6']",Benoni Defense: Old Benoni
1841,1851,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'e5', 'e4', 'f5', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
1842,1841,0-1,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'g6', 'Nc3', 'Bg7', 'e4', 'Nc6']",Benoni Defense: Old Benoni
2106,2084,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'e6', 'Nc3', 'exd5', 'cxd5', 'Nf6']",Benoni Defense: Old Benoni
2123,2079,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Bg5', 'e5', 'Bxd8', 'e4', 'Ng5', 'Kxd8']",Benoni Defense: Old Benoni
2103,2264,1-0,"['d4', 'c5', 'd5', 'Nc6', 'c4', 'Nb8', 'Nc3', 'd6', 'e4', 'Nf6']",Benoni Defense: Old Benoni
2316,2331,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'Nc6', 'Qh4', 'e5', 'Bg5', 'f6']",Benoni Defense: Old Benoni
1830,1913,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'e5', 'Nb3', 'Nc6', 'g3', 'd5']",Benoni Defense: Old Benoni
1981,1937,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'e5', 'Nb3', 'Nc6', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
1897,1900,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Nc3', 'd6', 'Ne4', 'e5', 'f4', 'f5']",Benoni Defense: Old Benoni
1872,1882,1/2-1/2,"['d4', 'c5', 'd5', 'e6', 'e4', 'exd5', 'exd5', 'd6', 'c4', 'Nf6']",Benoni Defense: Old Benoni
2507,2479,1-0,"['d4', 'c5', 'd5', 'd6', 'Nc3', 'Nf6', 'e4', 'g6', 'Bb5+', 'Bd7']",Benoni Defense: Old Benoni
1844,1810,1-0,"['d4', 'c5', 'e3', 'd6', 'c4', 'cxd4', 'exd4', 'Nc6', 'Nf3', 'Bd7']",Benoni Defense: Old Benoni
2149,2125,1/2-1/2,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'c3', 'Nc6', 'Nf3', 'Bg4']",Benoni Defense: Old Benoni
1979,1974,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'e5', 'Nf3', 'f5', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
2303,2319,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'd5', 'Nf3', 'e6', 'e4', 'dxe4']",Benoni Defense: Old Benoni
