WhiteElo,BlackElo,Result,Moves,OpeningName
2060,2149,0-1,"['d4', 'e6', 'Nc3', 'd5', 'e4', 'dxe4', 'Nxe4', 'Nf6', 'Bg5', 'Be7']",Horwitz Defense
2077,2145,0-1,"['d4', 'e6', 'c4', 'd5', 'e3', 'Nf6', 'Nf3', 'Be7', 'Nc3', 'c5']",Horwitz Defense
2259,2201,1-0,"['d4', 'e6', 'c4', 'Nf6', 'Nc3', 'd5', 'cxd5', 'Bb4', 'a3', 'Bxc3+']",Horwitz Defense
1817,1814,1-0,"['d4', 'e6', 'c4', 'Ne7', 'Nc3', 'Ng6', 'e4', 'Bb4', 'a3', 'Bxc3+']",Horwitz Defense
2259,2153,1-0,"['d4', 'e6', 'c4', 'd5', 'cxd5', 'Nf6', 'dxe6', 'Bxe6', 'Nf3', 'Bd6']",Horwitz Defense
2217,2192,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'c6', 'Bf4', 'Nf6', 'c5', 'Be7']",Horwitz Defense
1864,1894,0-1,"['d4', 'e6', 'Nf3', 'd5', 'g3', 'c5', 'Bg2', 'Nc6', 'O-O', 'Nf6']",Horwitz Defense
1866,1858,0-1,"['d4', 'e6', 'c3', 'd5', 'Nf3', 'c5', 'Bf4', 'Qb6', 'Qb3', 'Qxb3']",Horwitz Defense
2318,2334,0-1,"['d4', 'e6', 'Bf4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'c3', 'Nc6']",Horwitz Defense
2206,2119,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'c6', 'Bf4', 'f5', 'e3', 'Nf6']",Horwitz Defense
1973,1842,1-0,"['d4', 'e6', 'Nf3', 'Nf6', 'g3', 'd5', 'Bg2', 'c6', 'O-O', 'Bd6']",Horwitz Defense
2031,1996,0-1,"['d4', 'e6', 'Nf3', 'c5', 'Bg5', 'Qb6', 'b3', 'cxd4', 'Qxd4', 'Qxd4']",Horwitz Defense
1813,1848,1-0,"['d4', 'e6', 'g3', 'd5', 'Bg2', 'c5', 'Nf3', 'Nc6', 'O-O', 'Qb6']",Horwitz Defense
1952,1941,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'Nf3', 'Nf6', 'Bg5', 'a6']",Horwitz Defense
2164,2130,1-0,"['d4', 'e6', 'Bf4', 'd5', 'e3', 'Nf6', 'Nf3', 'Bd6', 'Bg3', 'O-O']",Horwitz Defense
2072,2040,0-1,"['d4', 'e6', 'c4', 'c5', 'd5', 'exd5', 'cxd5', 'd6', 'Nc3', 'Nf6']",Horwitz Defense
2059,2075,1-0,"['d4', 'e6', 'c4', 'Nf6', 'Nc3', 'Be7', 'a3', 'd6', 'Bg5', 'c6']",Horwitz Defense
1949,1938,0-1,"['d4', 'e6', 'Bf4', 'd5', 'e3', 'g5', 'Nf3', 'gxf4', 'exf4', 'Nf6']",Horwitz Defense
1803,1804,1/2-1/2,"['d4', 'e6', 'c4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'e3', 'Nxd4']",Horwitz Defense
2083,2066,1-0,"['d4', 'e6', 'Nc3', 'b6', 'Bf4', 'Bb7', 'e4', 'Bb4', 'Bd3', 'Bxc3+']",Horwitz Defense
1865,1818,1-0,"['d4', 'e6', 'Nf3', 'Ke7', 'Bg5+', 'f6', 'Bh4', 'Kf7', 'e4', 'Kg6']",Horwitz Defense
1807,1821,1-0,"['d4', 'e6', 'c4', 'a6', 'Nc3', 'Nf6', 'Bg5', 'Be7', 'Nf3', 'h6']",Horwitz Defense
2204,2156,1-0,"['d4', 'e6', 'e4', 'd5', 'Nd2', 'f5', 'exf5', 'exf5', 'Bd3', 'Nf6']",Horwitz Defense
2143,2136,0-1,"['d4', 'e6', 'e3', 'd5', 'c3', 'Nf6', 'f4', 'c5', 'Nf3', 'Nfd7']",Horwitz Defense
1928,1924,0-1,"['d4', 'e6', 'e3', 'Nf6', 'Nf3', 'd5', 'Bd3', 'c5', 'b3', 'Nc6']",Horwitz Defense
1881,1969,1-0,"['d4', 'e6', 'Nf3', 'c5', 'Nc3', 'd5', 'dxc5', 'Bd7', 'Be3', 'Bxc5']",Horwitz Defense
1972,2087,0-1,"['d4', 'e6', 'Nc3', 'd5', 'Bf4', 'Nf6', 'Nb5', 'Na6', 'e3', 'Bd6']",Horwitz Defense
1875,1892,0-1,"['d4', 'e6', 'Nf3', 'c5', 'e3', 'd5', 'c4', 'cxd4', 'exd4', 'Nf6']",Horwitz Defense
1925,1945,1-0,"['d4', 'e6', 'Bf4', 'd5', 'Nf3', 'c5', 'e3', 'Nc6', 'c3', 'Nf6']",Horwitz Defense
1970,2090,1-0,"['d4', 'e6', 'e4', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'Be3', 'Qa5']",Horwitz Defense
2149,2181,0-1,"['d4', 'e6', 'Nf3', 'd5', 'Bf4', 'Nf6', 'Bg3', 'c5', 'e3', 'cxd4']",Horwitz Defense
1969,1986,1-0,"['d4', 'e6', 'c4', 'Be7', 'a3', 'h6', 'Nc3', 'd5', 'e4', 'dxe4']",Horwitz Defense
2039,2042,1-0,"['d4', 'e6', 'Bf4', 'c5', 'c3', 'cxd4', 'cxd4', 'd5', 'Nf3', 'Qb6']",Horwitz Defense
1883,1943,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'e3', 'Nd7', 'Bxc4', 'Ngf6']",Horwitz Defense
2524,2365,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'Nf3', 'Be7', 'Bf4', 'Nf6']",Horwitz Defense
2176,2328,1-0,"['d4', 'e6', 'Bf4', 'd5', 'e3', 'c5', 'c3', 'Nc6', 'Nf3', 'Nf6']",Horwitz Defense
1966,1971,1/2-1/2,"['d4', 'e6', 'e4', 'b6', 'Nf3', 'Ba6', 'Bd3', 'Bxd3', 'Qxd3', 'Ne7']",Horwitz Defense
2123,2046,1-0,"['d4', 'e6', 'e4', 'd5', 'e5', 'c5', 'c3', 'h6', 'Nf3', 'a6']",Horwitz Defense
2008,2040,0-1,"['d4', 'e6', 'Bg5', 'Qxg5', 'Nf3', 'Qa5+', 'c3', 'Nc6', 'b4', 'Nxb4']",Horwitz Defense
2162,2083,1-0,"['d4', 'e6', 'Bf4', 'd6', 'e3', 'g6', 'Nd2', 'Bg7', 'Ngf3', 'Ne7']",Horwitz Defense
2066,1994,0-1,"['d4', 'e6', 'Nf3', 'd5', 'Bf4', 'Nf6', 'e3', 'Bd6', 'Bg3', 'O-O']",Horwitz Defense
2393,2116,1-0,"['d4', 'e6', 'Nf3', 'd5', 'c4', 'Nf6', 'Nc3', 'Be7', 'Bg5', 'O-O']",Horwitz Defense
2113,2177,1-0,"['d4', 'e6', 'Nf3', 'c6', 'g3', 'd6', 'Bg2', 'f6', 'O-O', 'g6']",Horwitz Defense
1936,1879,1-0,"['d4', 'e6', 'Nf3', 'd5', 'c4', 'c6', 'g3', 'f5', 'Bg2', 'Nf6']",Horwitz Defense
1887,1999,0-1,"['d4', 'e6', 'Nf3', 'd5', 'c4', 'Nf6', 'Nc3', 'c6', 'Bf4', 'Bd6']",Horwitz Defense
2171,2051,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'c5', 'e3', 'cxd4']",Horwitz Defense
2389,2393,0-1,"['d4', 'e6', 'Nf3', 'd5', 'Nc3', 'Be7', 'Bf4', 'Nf6', 'e3', 'O-O']",Horwitz Defense
1903,1921,0-1,"['d4', 'e6', 'c4', 'd5', 'Nf3', 'c5', 'g3', 'cxd4', 'Nxd4', 'Nc6']",Horwitz Defense
2058,2076,1-0,"['d4', 'e6', 'c3', 'g6', 'Bf4', 'Bg7', 'Bg3', 'Ne7', 'Nf3', 'b6']",Horwitz Defense
2248,2220,1-0,"['d4', 'e6', 'Nc3', 'Ne7', 'Bf4', 'b6', 'e4', 'Bb7', 'Nf3', 'g6']",Horwitz Defense
2077,2050,0-1,"['d4', 'e6', 'c3', 'c5', 'Bf4', 'd5', 'Bxb8', 'Rxb8', 'Qa4+', 'Bd7']",Horwitz Defense
2158,2131,1-0,"['d4', 'e6', 'd5', 'exd5', 'Nf3', 'Nf6', 'Nc3', 'c6', 'Bg5', 'Bb4']",Horwitz Defense
2136,2069,1/2-1/2,"['d4', 'e6', 'Bf4', 'd5', 'Nf3', 'Nf6', 'e3', 'c5', 'c3', 'Bd6']",Horwitz Defense
1907,1909,1-0,"['d4', 'e6', 'e3', 'b6', 'f4', 'Bb7', 'Nf3', 'Ne7', 'Bd3', 'Ng6']",Horwitz Defense
1881,1878,0-1,"['d4', 'e6', 'Nf3', 'd5', 'c3', 'Nf6', 'e3', 'Be7', 'Be2', 'Nbd7']",Horwitz Defense
1869,1842,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'Bf4', 'Nbd7', 'e3', 'c5']",Horwitz Defense
1810,1827,0-1,"['d4', 'e6', 'c4', 'f5', 'Nc3', 'Nf6', 'Nf3', 'Be7', 'Bg5', 'O-O']",Horwitz Defense
1922,1941,1/2-1/2,"['d4', 'e6', 'e4', 'd5', 'exd5', 'exd5', 'Nf3', 'Nf6', 'Bd3', 'Bd6']",Horwitz Defense
1801,1824,1-0,"['d4', 'e6', 'Bf4', 'd6', 'e3', 'Nc6', 'Nf3', 'f6', 'Be2', 'g5']",Horwitz Defense
1915,1811,1-0,"['d4', 'e6', 'e3', 'b6', 'Nf3', 'Bb7', 'Bd3', 'h6', 'Nbd2', 'Nf6']",Horwitz Defense
1872,1861,1-0,"['d4', 'e6', 'e3', 'd5', 'Bd3', 'c6', 'f4', 'Nd7', 'Nf3', 'Ngf6']",Horwitz Defense
1870,1880,1-0,"['d4', 'e6', 'e4', 'Ne7', 'Nc3', 'g6', 'Nf3', 'Bg7', 'Bd3', 'd6']",Horwitz Defense
2080,2096,0-1,"['d4', 'e6', 'c3', 'd5', 'Nf3', 'a6', 'e3', 'Nf6', 'c4', 'dxc4']",Horwitz Defense
2080,2093,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'e4', 'Ne7', 'Bxc4', 'Nec6']",Horwitz Defense
1877,1917,0-1,"['d4', 'e6', 'Nf3', 'd5', 'Bg5', 'Be7', 'Bxe7', 'Nxe7', 'e3', 'Nd7']",Horwitz Defense
2033,2040,1-0,"['d4', 'e6', 'c4', 'h6', 'Nc3', 'Be7', 'Nf3', 'd6', 'e3', 'Nd7']",Horwitz Defense
2118,2136,1-0,"['d4', 'e6', 'Bf4', 'd5', 'e3', 'Nf6', 'Bg3', 'Bd6', 'Be2', 'c6']",Horwitz Defense
2286,2291,1-0,"['d4', 'e6', 'Bf4', 'd5', 'Nf3', 'Nf6', 'e3', 'Be7', 'c3', 'O-O']",Horwitz Defense
1806,1814,1-0,"['d4', 'e6', 'Bf4', 'd5', 'e3', 'Nf6', 'Nf3', 'c5', 'c4', 'Nc6']",Horwitz Defense
1904,1914,0-1,"['d4', 'e6', 'e4', 'Be7', 'Bd3', 'd6', 'f4', 'c5', 'Nf3', 'cxd4']",Horwitz Defense
1904,2154,0-1,"['d4', 'e6', 'c4', 'Nf6', 'Nc3', 'Be7', 'h3', 'c6', 'Nf3', 'd5']",Horwitz Defense
2031,1930,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'Bb4', 'Bg5', 'Bxc3+']",Horwitz Defense
1952,1900,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'c5', 'e3', 'Qb6']",Horwitz Defense
1864,1839,1-0,"['d4', 'e6', 'a3', 'Be7', 'e4', 'd6', 'c4', 'Nf6', 'Nc3', 'O-O']",Horwitz Defense
2081,2090,1-0,"['d4', 'e6', 'c4', 'Nf6', 'Nc3', 'd5', 'Nf3', 'Bb4', 'Bg5', 'Bxc3+']",Horwitz Defense
2862,2875,1/2-1/2,"['d4', 'e6', 'e4', 'd5', 'Nd2', 'c5', 'exd5', 'exd5', 'Bb5+', 'Bd7']",Horwitz Defense
2020,2013,0-1,"['d4', 'e6', 'c4', 'd5', 'cxd5', 'exd5', 'Nc3', 'Nf6', 'Nf3', 'a6']",Horwitz Defense
2437,2428,1-0,"['d4', 'e6', 'Nf3', 'd5', 'Bg5', 'Be7', 'h4', 'Nf6', 'e3', 'Nbd7']",Horwitz Defense
2357,2367,1-0,"['d4', 'e6', 'e3', 'f5', 'g4', 'fxg4', 'Qxg4', 'Nf6', 'Qf3', 'd5']",Horwitz Defense
2180,2171,1-0,"['d4', 'e6', 'Nc3', 'd5', 'Bf4', 'g5', 'Bg3', 'c6', 'h4', 'g4']",Horwitz Defense
1804,1812,1-0,"['d4', 'e6', 'c4', 'd6', 'Nc3', 'f5', 'e4', 'h6', 'exf5', 'exf5']",Horwitz Defense
2089,1963,0-1,"['d4', 'e6', 'c4', 'd5', 'Nf3', 'Nf6', 'Bg5', 'c6', 'e3', 'Bb4+']",Horwitz Defense
1804,1934,0-1,"['d4', 'e6', 'Nc3', 'Nf6', 'Bf4', 'a6', 'e4', 'd6', 'Bc4', 'Be7']",Horwitz Defense
2399,2435,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'f5', 'cxd5', 'exd5', 'Bf4', 'c6']",Horwitz Defense
2169,2169,1-0,"['d4', 'e6', 'Nf3', 'd5', 'Bf4', 'Bd6', 'Bg3', 'f5', 'e3', 'Nf6']",Horwitz Defense
1874,1840,1-0,"['d4', 'e6', 'e3', 'd5', 'Bd3', 'c5', 'c3', 'Nc6', 'f4', 'Qb6']",Horwitz Defense
2494,2480,0-1,"['d4', 'e6', 'Bg5', 'Qxg5', 'Nf3', 'Qd8', 'c3', 'Nf6', 'Nbd2', 'c5']",Horwitz Defense
2206,2217,1-0,"['d4', 'e6', 'Nc3', 'd5', 'Bf4', 'Bd6', 'Bg3', 'Nf6', 'e3', 'a6']",Horwitz Defense
2176,2179,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'Nf3', 'c5', 'e3', 'cxd4']",Horwitz Defense
2292,2254,0-1,"['d4', 'e6', 'Bf4', 'Be7', 'e3', 'd5', 'Nf3', 'Bd6', 'Bxd6', 'Qxd6']",Horwitz Defense
2456,2513,1-0,"['d4', 'e6', 'c4', 'f5', 'Nf3', 'Nf6', 'Nc3', 'd5', 'g3', 'c6']",Horwitz Defense
1864,1862,0-1,"['d4', 'e6', 'c4', 'c5', 'Nc3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6']",Horwitz Defense
2129,2130,0-1,"['d4', 'e6', 'c4', 'd5', 'Nf3', 'c6', 'e3', 'Nd7', 'Nbd2', 'Ngf6']",Horwitz Defense
2264,2249,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'Bg5', 'Nbd7', 'cxd5', 'exd5']",Horwitz Defense
2385,2156,1-0,"['d4', 'e6', 'c4', 'Nf6', 'Nf3', 'Be7', 'g3', 'c6', 'Bg2', 'd5']",Horwitz Defense
2057,2042,0-1,"['d4', 'e6', 'c4', 'c5', 'e3', 'cxd4', 'exd4', 'Nf6', 'Nf3', 'Bb4+']",Horwitz Defense
1817,1841,1-0,"['d4', 'e6', 'Nc3', 'd5', 'Bf4', 'Bd6', 'Bg3', 'Nf6', 'Nf3', 'O-O']",Horwitz Defense
2090,2124,1-0,"['d4', 'e6', 'c4', 'a6', 'e3', 'Bb4+', 'Bd2', 'Be7', 'Nf3', 'd6']",Horwitz Defense
2014,2002,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'c5', 'cxd5', 'exd5', 'Nf3', 'Be6']",Horwitz Defense
2244,2312,0-1,"['d4', 'e6', 'Nc3', 'Ne7', 'e4', 'd6', 'Be3', 'Nd7', 'f3', 'h6']",Horwitz Defense
1868,2038,0-1,"['d4', 'e6', 'e3', 'd5', 'f4', 'c5', 'Nf3', 'cxd4', 'exd4', 'Nc6']",Horwitz Defense
1964,1990,0-1,"['d4', 'e6', 'Nc3', 'd5', 'Bf4', 'Nf6', 'Nf3', 'Bd6', 'e3', 'O-O']",Horwitz Defense
1885,1885,1/2-1/2,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'Nf3', 'Nf6', 'e3', 'Bb4']",Horwitz Defense
2443,2394,0-1,"['d4', 'e6', 'Nf3', 'Be7', 'h4', 'd5', 'Bg5', 'h6', 'Bf4', 'Nf6']",Horwitz Defense
2009,2039,0-1,"['d4', 'e6', 'Nf3', 'c5', 'Bg5', 'Be7', 'Bxe7', 'Qxe7', 'c3', 'cxd4']",Horwitz Defense
2518,2370,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'dxc4', 'Nf3', 'Be7', 'Bf4', 'Nf6']",Horwitz Defense
2074,2115,1-0,"['d4', 'e6', 'c3', 'd5', 'Bf4', 'Nf6', 'e3', 'Be7', 'Nf3', 'O-O']",Horwitz Defense
1930,1906,1-0,"['d4', 'e6', 'e4', 'd5', 'Be3', 'dxe4', 'Nc3', 'f5', 'f3', 'exf3']",Horwitz Defense
2113,2006,1-0,"['d4', 'e6', 'c4', 'Nf6', 'Nc3', 'd5', 'e3', 'c5', 'Nf3', 'cxd4']",Horwitz Defense
2193,2314,0-1,"['d4', 'e6', 'Nc3', 'd5', 'Bf4', 'a6', 'e3', 'Nd7', 'Nf3', 'Be7']",Horwitz Defense
1805,1807,1-0,"['d4', 'e6', 'e3', 'd5', 'c4', 'c5', 'Nc3', 'Qb6', 'dxc5', 'Bxc5']",Horwitz Defense
1936,1926,1-0,"['d4', 'e6', 'Nf3', 'Nf6', 'c4', 'c5', 'Nc3', 'cxd4', 'Nxd4', 'Nc6']",Horwitz Defense
2075,2039,0-1,"['d4', 'e6', 'Nf3', 'd5', 'e3', 'h6', 'Bd3', 'Nf6', 'Nbd2', 'Nbd7']",Horwitz Defense
2104,2098,1-0,"['d4', 'e6', 'd5', 'Be7', 'dxe6', 'd6', 'exf7+', 'Kxf7', 'Nc3', 'Nf6']",Horwitz Defense
1914,1840,0-1,"['d4', 'e6', 'Nf3', 'b6', 'Bg5', 'f6', 'Bf4', 'Bb7', 'e4', 'Nc6']",Horwitz Defense
2172,2221,0-1,"['d4', 'e6', 'e4', 'Ne7', 'Nc3', 'b6', 'f4', 'Bb7', 'e5', 'g6']",Horwitz Defense
2664,2514,1-0,"['d4', 'e6', 'e4', 'd5', 'Bd3', 'Nf6', 'e5', 'Nfd7', 'f4', 'c5']",Horwitz Defense
2257,2255,0-1,"['d4', 'e6', 'Bf4', 'd5', 'e3', 'Bd6', 'Bg3', 'Bxg3', 'hxg3', 'c5']",Horwitz Defense
1894,1895,1-0,"['d4', 'e6', 'c4', 'd5', 'Nf3', 'Nf6', 'g3', 'c5', 'Bg2', 'cxd4']",Horwitz Defense
2086,2088,0-1,"['d4', 'e6', 'c4', 'd6', 'e3', 'h6', 'Nf3', 'Ne7', 'Bd3', 'g6']",Horwitz Defense
2157,2132,1-0,"['d4', 'e6', 'e4', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'Nf6', 'Bg5', 'Be7']",Horwitz Defense
2037,2020,1-0,"['d4', 'e6', 'Nf3', 'd5', 'Bf4', 'c5', 'e3', 'Nc6', 'c3', 'cxd4']",Horwitz Defense
1850,1816,1-0,"['d4', 'e6', 'e3', 'c5', 'c3', 'Nf6', 'Bd3', 'b6', 'f4', 'Bb7']",Horwitz Defense
2087,2093,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'c5', 'cxd5', 'exd5', 'dxc5', 'Bxc5']",Horwitz Defense
1847,1818,1-0,"['d4', 'e6', 'Nf3', 'd5', 'Bg5', 'c5', 'Bxd8', 'Kxd8', 'Ne5', 'Be7']",Horwitz Defense
1815,1868,0-1,"['d4', 'e6', 'Nc3', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nf6', 'Nb3', 'Nc6']",Horwitz Defense
2002,2008,1-0,"['d4', 'e6', 'Bf4', 'd5', 'Nf3', 'Bd6', 'Bxd6', 'Qxd6', 'c3', 'Nf6']",Horwitz Defense
1880,1879,1-0,"['d4', 'e6', 'Nf3', 'Ne7', 'Bf4', 'g6', 'Bg3', 'Bg7', 'e3', 'Nf5']",Horwitz Defense
2336,2438,0-1,"['d4', 'e6', 'Nf3', 'Nf6', 'c4', 'd5', 'Nc3', 'c6', 'Bg5', 'a6']",Horwitz Defense
1927,1895,0-1,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'e3', 'Bb4', 'Bd3', 'dxc4']",Horwitz Defense
2153,2069,1-0,"['d4', 'e6', 'e4', 'b6', 'Bd3', 'Bb7', 'Qe2', 'Ne7', 'Nf3', 'g6']",Horwitz Defense
2513,2375,1/2-1/2,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Be7', 'Nf3', 'Nf6', 'Bf4', 'O-O']",Horwitz Defense
2259,2178,1/2-1/2,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Bb4', 'cxd5', 'Nf6', 'dxe6', 'Bxe6']",Horwitz Defense
2136,2172,1-0,"['d4', 'e6', 'c4', 'c6', 'Nc3', 'f5', 'e4', 'Nf6', 'e5', 'Ng8']",Horwitz Defense
1902,1974,0-1,"['d4', 'e6', 'e3', 'd5', 'f4', 'Nc6', 'Nf3', 'f5', 'c3', 'g6']",Horwitz Defense
2050,2060,0-1,"['d4', 'e6', 'Bf4', 'c5', 'Bxb8', 'Rxb8', 'e3', 'Qb6', 'Nc3', 'Qxb2']",Horwitz Defense
1914,1891,1-0,"['d4', 'e6', 'c4', 'd5', 'Nc3', 'Nf6', 'Bf4', 'h6', 'e3', 'Bd6']",Horwitz Defense
1833,1822,0-1,"['d4', 'e6', 'Bf4', 'b6', 'e3', 'Bb7', 'Nf3', 'Bxf3', 'Nd2', 'Bxd1']",Horwitz Defense
1956,2002,0-1,"['d4', 'e6', 'Nf3', 'd5', 'Bf4', 'c6', 'e3', 'Nf6', 'Bd3', 'Bd6']",Horwitz Defense
