WhiteElo,BlackElo,Result,Moves,OpeningName
1932,1932,0-1,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'b6', 'c4', 'Bb7', 'b3', 'Be7']",Indian Defense
2137,2040,1-0,"['d4', 'Nf6', 'Nc3', 'g6', 'e3', 'd6', 'e4', 'Bg7', 'e5', 'O-O']",Indian Defense
1908,1911,0-1,"['d4', 'Nf6', 'Nc3', 'g6', 'e4', 'd6', 'Nf3', 'Bg7', 'Be2', 'O-O']",Indian Defense
1893,1881,1-0,"['d4', 'Nf6', 'Nc3', 'e6', 'Nf3', 'd5', 'Bg5', 'c5', 'dxc5', 'Bxc5']",Indian Defense
1835,1940,1-0,"['d4', 'Nf6', 'Bf4', 'b6', 'Nf3', 'Bb7', 'Nc3', 'a6', 'h3', 'e6']",Indian Defense
1870,1856,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'c5', 'Nf3', 'Nc6', 'c3', 'Bf5']",Indian Defense
1848,1813,1-0,"['d4', 'Nf6', 'e3', 'g6', 'Nf3', 'd5', 'Bd3', 'Bg7', 'Nbd2', 'c5']",Indian Defense
2068,2043,0-1,"['d4', 'Nf6', 'Nc3', 'd6', 'e4', 'c6', 'Bg5', 'Qa5', 'Bxf6', 'gxf6']",Indian Defense
1892,1895,0-1,"['d4', 'Nf6', 'c3', 'd5', 'Bg5', 'e6', 'e3', 'Be7', 'Bxf6', 'Bxf6']",Indian Defense
2174,1983,0-1,"['d4', 'Nf6', 'Nc3', 'g6', 'e4', 'd6', 'f3', 'Bg7', 'Be3', 'O-O']",Indian Defense
2301,2380,0-1,"['d4', 'Nf6', 'Nc3', 'g6', 'Bg5', 'Bg7', 'Bxf6', 'Bxf6', 'e3', 'c5']",Indian Defense
2699,2894,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'd5', 'Be3', 'Bb4', 'f3', 'dxe4']",Indian Defense
2017,1991,0-1,"['d4', 'Nf6', 'e3', 'd5', 'c4', 'Bf5', 'Nf3', 'e6', 'Nc3', 'c6']",Indian Defense
2022,1952,1/2-1/2,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'Bf5', 'Nf3', 'e6', 'Bd3', 'Bg6']",Indian Defense
1873,1872,1-0,"['d4', 'Nf6', 'e3', 'c6', 'Bd3', 'd5', 'f4', 'Bg4', 'Nf3', 'e6']",Indian Defense
2354,2393,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'b6', 'Nd2', 'Bb7', 'Ngf3', 'd5']",Indian Defense
2033,2033,1-0,"['d4', 'Nf6', 'Bf4', 'c6', 'Nf3', 'd5', 'e3', 'Bg4', 'Nbd2', 'e6']",Indian Defense
2203,1908,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'd5', 'Nf3', 'Bd6', 'Bg3', 'Nbd7']",Indian Defense
1810,1904,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'e3', 'Bf5', 'c4', 'Nbd7', 'Nc3', 'e5']",Indian Defense
2013,2048,0-1,"['d4', 'Nf6', 'Nc3', 'g6', 'Bf4', 'Bg7', 'e4', 'd6', 'Qd2', 'Nbd7']",Indian Defense
2349,2433,0-1,"['d4', 'Nf6', 'c3', 'e6', 'Nf3', 'Be7', 'h3', 'd5', 'Bf4', 'b6']",Indian Defense
2084,1811,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'd6', 'c3', 'Bg7', 'e3', 'Nbd7']",Indian Defense
1866,1858,0-1,"['d4', 'Nf6', 'e3', 'g6', 'Nf3', 'Bg7', 'c4', 'O-O', 'Bd3', 'd6']",Indian Defense
2061,2189,0-1,"['d4', 'Nf6', 'c3', 'g6', 'Nf3', 'Bg7', 'Bf4', 'O-O', 'e3', 'd6']",Indian Defense
1825,1824,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'Bb4', 'e5', 'Ne4', 'Bd2', 'Nxd2']",Indian Defense
2259,2326,0-1,"['d4', 'Nf6', 'e3', 'c5', 'c3', 'cxd4', 'exd4', 'd5', 'Bd3', 'e5']",Indian Defense
2097,2093,1-0,"['d4', 'Nf6', 'Bf4', 'd6', 'Nc3', 'Nbd7', 'f3', 'e5', 'dxe5', 'dxe5']",Indian Defense
2020,1902,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'Bg7', 'h3', 'd6', 'Nf3', 'a6']",Indian Defense
1887,1850,1-0,"['d4', 'Nf6', 'c3', 'g6', 'Nf3', 'd5', 'Bf4', 'Bg7', 'Nbd2', 'c5']",Indian Defense
1889,1857,1-0,"['d4', 'Nf6', 'e3', 'd5', 'Bd3', 'Bg4', 'Nf3', 'e6', 'c3', 'c5']",Indian Defense
1977,1993,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'Bg7', 'e3', 'd6', 'Bd3', 'Nbd7']",Indian Defense
2047,1938,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'h3', 'c6', 'a3', 'Bf5', 'Nf3', 'h6']",Indian Defense
2149,2161,1-0,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'c5', 'e5', 'Nd5', 'Ne4', 'd6']",Indian Defense
2121,2157,0-1,"['d4', 'Nf6', 'e3', 'd5', 'Bd3', 'e6', 'Nd2', 'Be7', 'f4', 'O-O']",Indian Defense
2395,2496,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'c5', 'd5', 'e5', 'd6', 'Qb6']",Indian Defense
2116,2132,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'd5', 'Nd2', 'Bd6', 'Bg3', 'c6']",Indian Defense
2243,2239,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'd5', 'c3', 'Bg7', 'Nbd2', 'O-O']",Indian Defense
2425,2493,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'd5', 'e5', 'Nfd7', 'f4', 'c5']",Indian Defense
2232,2189,1-0,"['d4', 'Nf6', 'e3', 'g6', 'f4', 'Bg7', 'Nf3', 'd6', 'Bd3', 'O-O']",Indian Defense
2197,2145,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'd6', 'e4', 'Bg7', 'Qd2', 'h5']",Indian Defense
2056,1974,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'Bf4', 'b6', 'e4', 'Bb7', 'f3', 'd5']",Indian Defense
2428,2395,1-0,"['d4', 'Nf6', 'Bf4', 'c5', 'e3', 'Qb6', 'Nc3', 'd5', 'dxc5', 'Qxc5']",Indian Defense
1932,1930,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'Bf5', 'Nf3', 'e6', 'Bd3', 'Bxd3']",Indian Defense
2166,2176,1-0,"['d4', 'Nf6', 'e3', 'c6', 'f4', 'd6', 'Nf3', 'g6', 'c3', 'Bg4']",Indian Defense
1967,1947,1-0,"['d4', 'Nf6', 'Bh6', 'Ne4', 'Bd2', 'Nxf2', 'Kxf2', 'e5', 'Ke1', 'exd4']",Indian Defense
2582,2464,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'd5', 'Nf3', 'Be7', 'Bd3', 'c5']",Indian Defense
1909,1895,0-1,"['d4', 'Nf6', 'Bf4', 'c5', 'e3', 'cxd4', 'exd4', 'Qb6', 'Bc1', 'd5']",Indian Defense
2365,2514,0-1,"['d4', 'Nf6', 'Bf4', 'c5', 'e3', 'cxd4', 'Bxb8', 'Rxb8', 'Qxd4', 'd6']",Indian Defense
2114,2015,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'd6', 'Nf3', 'Bg7', 'Bd3', 'Nh5']",Indian Defense
1803,1846,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'h3', 'd5', 'c4', 'Bg7', 'c5', 'O-O']",Indian Defense
2165,2120,1-0,"['d4', 'Nf6', 'Nc3', 'e6', 'Nf3', 'd6', 'Bg5', 'Be7', 'Qd2', 'b6']",Indian Defense
2237,2266,1-0,"['d4', 'Nf6', 'e3', 'd5', 'f4', 'c5', 'Nf3', 'Nc6', 'c3', 'cxd4']",Indian Defense
1868,1882,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'Nf3', 'c5', 'dxc5', 'Bxc5', 'e3', 'O-O']",Indian Defense
1963,1966,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'Qd2', 'O-O']",Indian Defense
1993,2012,0-1,"['d4', 'Nf6', 'e3', 'd5', 'Nf3', 'Bg4', 'c4', 'e6', 'Nbd2', 'c6']",Indian Defense
1955,1975,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'b6', 'c3', 'Ba6', 'Qf3', 'c6']",Indian Defense
2321,2052,0-1,"['d4', 'Nf6', 'e3', 'g6', 'Nf3', 'Bg7', 'g3', 'd6', 'Bg2', 'Bg4']",Indian Defense
2088,2090,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'c4', 'Bg7', 'Nc3', 'O-O', 'e3', 'Kh8']",Indian Defense
1834,1809,1-0,"['d4', 'Nf6', 'e3', 'd5', 'Bd3', 'c6', 'b3', 'Bg4', 'Nf3', 'e6']",Indian Defense
2186,2150,0-1,"['d4', 'Nf6', 'Nc3', 'g6', 'e4', 'Bg7', 'Be3', 'd6', 'Qd2', 'O-O']",Indian Defense
