WhiteElo,BlackElo,Result,Moves,OpeningName
2117,2077,1-0,"['e4', 'g6', 'd4', 'Bg7', 'c4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'O-O']",Modern Defense
2010,2000,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd5', 'e5', 'e6', 'Bd3', 'Nd7']",Modern Defense
1839,1829,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'Bc4', 'e6', 'd3', 'Ne7', 'c3', 'O-O']",Modern Defense
2033,2023,0-1,"['e4', 'g6', 'Nc3', 'Bg7', 'd4', 'd6', 'Nf3', 'Nd7', 'Be3', 'e5']",Modern Defense
1828,1984,1-0,"['e4', 'g6', 'Bc4', 'Bg7', 'd3', 'd6', 'Nc3', 'e6', 'Nge2', 'a6']",Modern Defense
1917,1930,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd6', 'Bd3', 'Nf6', 'c3', 'O-O']",Modern Defense
1807,1859,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd5', 'e5', 'f6', 'c3', 'fxe5']",Modern Defense
2416,2370,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'c5', 'Nc3', 'cxd4', 'Nxd4', 'Nc6']",Modern Defense
2049,2038,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'Bd3', 'd6', 'O-O', 'Nf6', 'Re1', 'O-O']",Modern Defense
2005,2016,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Bg5', 'h6', 'Bh4', 'g5']",Modern Defense
2102,2074,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'e6', 'c3', 'Ne7', 'Bd3', 'd5']",Modern Defense
2062,2066,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Nf3', 'Bg4', 'Bg5', 'Bxf3']",Modern Defense
2190,2171,0-1,"['e4', 'g6', 'h4', 'Bg7', 'h5', 'd5', 'exd5', 'Nf6', 'h6', 'Bf8']",Modern Defense
1830,1803,1-0,"['e4', 'g6', 'd4', 'Bg7', 'e5', 'd6', 'f4', 'dxe5', 'fxe5', 'Nc6']",Modern Defense
2359,2358,0-1,"['e4', 'g6', 'd4', 'Bg7', 'c3', 'd6', 'f4', 'Nf6', 'Bd3', 'c5']",Modern Defense
1885,1886,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'c3', 'Nc6', 'd3', 'd6', 'Be2', 'Bg4']",Modern Defense
1988,1989,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'e6', 'h4', 'h5', 'Bd3', 'Nc6']",Modern Defense
2068,2076,1-0,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'e6', 'Nc3', 'Ne7', 'Bd3', 'O-O']",Modern Defense
1920,1960,0-1,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Bg5', 'Nf6', 'e4', 'Bg4']",Modern Defense
1874,1855,1-0,"['e4', 'g6', 'e5', 'Bg7', 'f4', 'e6', 'd4', 'h6', 'c3', 'd5']",Modern Defense
1870,1899,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'e6', 'c4', 'Ne7', 'Nc3', 'O-O']",Modern Defense
2083,2035,1-0,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'c5', 'Be3', 'cxd4', 'Bxd4', 'Nf6']",Modern Defense
2157,2099,1-0,"['e4', 'g6', 'd4', 'Bg7', 'Be3', 'd6', 'c4', 'c6', 'Nc3', 'Nd7']",Modern Defense
2550,2577,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'c6', 'Nc3', 'd5', 'e5', 'Bg4']",Modern Defense
