WhiteElo,BlackElo,Result,Moves,OpeningName
2312,2398,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'h4', 'h5', 'Bc4', 'Bg7']",Pirc Defense
1863,2004,1-0,"['e4', 'd6', 'd4', 'Nf6', 'e5', 'dxe5', 'dxe5', 'Qxd1+', 'Kxd1', 'Ng4']",Pirc Defense
1855,1818,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'e6', 'Nf3', 'd5', 'e5', 'Nfd7']",Pirc Defense
1972,1959,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'd3', 'g6', 'f4', 'Bg7', 'Nf3', 'O-O']",Pirc Defense
2006,1908,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'e5', 'Nf3', 'Nbd7', 'd5', 'h6']",Pirc Defense
1931,1871,0-1,"['e4', 'd6', 'd4', 'e6', 'Nc3', 'Ne7', 'Nf3', 'Nd7', 'Be3', 'h6']",Pirc Defense
2075,2160,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'c6', 'd4', 'Qa5', 'Bd3', 'Bg4']",Pirc Defense
1915,1961,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nd2', 'e5', 'd5', 'Nbd7', 'c4', 'c6']",Pirc Defense
1933,1921,1-0,"['e4', 'd6', 'Bc4', 'Nf6', 'Qf3', 'g6', 'Nc3', 'Bg7', 'd3', 'O-O']",Pirc Defense
2203,2303,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'd3', 'e5', 'Nbd2', 'Nbd7', 'g3', 'Be7']",Pirc Defense
1840,1822,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'Nf6', 'f3', 'Nbd7']",Pirc Defense
2048,2000,1/2-1/2,"['e4', 'd6', 'Nf3', 'Nd7', 'd4', 'c6', 'g3', 'Qc7', 'Bg2', 'e5']",Pirc Defense
1857,1830,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'd4', 'Bg7', 'Bd3', 'h6']",Pirc Defense
2143,2118,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'Bc4', 'c6', 'd3', 'Bg7']",Pirc Defense
2346,2342,0-1,"['e4', 'd6', 'Nc3', 'c6', 'Nf3', 'Qc7', 'd4', 'Nd7', 'Bd3', 'e5']",Pirc Defense
2021,1982,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Nf3', 'e5', 'h3', 'Be7']",Pirc Defense
2098,2102,1/2-1/2,"['e4', 'd6', 'f3', 'c6', 'd3', 'a5', 'Nc3', 'h6', 'Nge2', 'g6']",Pirc Defense
2262,2304,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Bd3', 'e5', 'Nge2', 'c6']",Pirc Defense
2318,2287,1-0,"['e4', 'd6', 'e5', 'dxe5', 'Nc3', 'Nf6', 'g3', 'g6', 'Bg2', 'Bg7']",Pirc Defense
2272,2351,0-1,"['e4', 'd6', 'Nf3', 'g6', 'g3', 'Bg7', 'Bg2', 'c6', 'O-O', 'Nf6']",Pirc Defense
1868,1816,1-0,"['e4', 'd6', 'Bc4', 'e6', 'Nc3', 'c6', 'a4', 'a6', 'Qh5', 'g6']",Pirc Defense
1865,1838,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'Be3', 'Bg7', 'f3', 'O-O']",Pirc Defense
2100,2140,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'd4', 'Bg7', 'Bg5', 'c6']",Pirc Defense
2272,2235,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Be3', 'e5', 'Nf3', 'c6']",Pirc Defense
1983,2004,0-1,"['e4', 'd6', 'Nf3', 'Nd7', 'Nc3', 'c5', 'Bb5', 'a6', 'Bxd7+', 'Bxd7']",Pirc Defense
2458,2512,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'e5', 'Nf3', 'Nbd7', 'Bc4', 'Be7']",Pirc Defense
2208,2173,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Bg4', 'Bg5', 'Bxd1', 'Rxd1', 'Nbd7']",Pirc Defense
2372,2289,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'Nf6', 'Qd2', 'O-O']",Pirc Defense
1855,1870,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'd3', 'Bg4', 'Be2', 'Nbd7', 'h3', 'Bh5']",Pirc Defense
2092,2180,1-0,"['e4', 'd6', 'd4', 'c6', 'Nc3', 'b5', 'a4', 'b4', 'Nce2', 'a5']",Pirc Defense
2261,2308,0-1,"['e4', 'd6', 'd3', 'Nf6', 'f4', 'e5', 'Nf3', 'Nbd7', 'Be2', 'Be7']",Pirc Defense
2122,2129,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'Be3', 'Bg7', 'Qd2', 'O-O']",Pirc Defense
2368,2354,0-1,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'c6', 'f3', 'Nd7']",Pirc Defense
1848,1807,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'Bc4', 'Nc6', 'd3', 'e5', 'Nge2', 'h6']",Pirc Defense
1912,1922,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'g6', 'f4', 'Bg7', 'h3', 'Nc6']",Pirc Defense
2135,2079,0-1,"['e4', 'd6', 'Nf3', 'g6', 'Nc3', 'Bg7', 'd4', 'Nc6', 'Be3', 'e5']",Pirc Defense
2114,2156,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Nf3', 'e5', 'Bc4', 'Be7']",Pirc Defense
1889,1900,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'c5', 'd4', 'cxd4', 'Nxd4', 'a6']",Pirc Defense
1987,1986,1-0,"['e4', 'd6', 'd4', 'f6', 'Bd3', 'h6', 'Ne2', 'g5', 'c3', 'e5']",Pirc Defense
1986,2034,0-1,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'c6', 'f4', 'Qc7', 'a4', 'a6']",Pirc Defense
2049,2070,0-1,"['e4', 'd6', 'Nf3', 'g6', 'd4', 'Bg7', 'Nc3', 'Nc6', 'Bg5', 'Bg4']",Pirc Defense
2689,2663,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'a6', 'Qd2', 'b5']",Pirc Defense
1978,1979,1-0,"['e4', 'd6', 'Nf3', 'Nd7', 'd4', 'c5', 'Bc4', 'cxd4', 'Nxd4', 'e5']",Pirc Defense
