WhiteElo,BlackElo,Result,Moves,OpeningName
2119,2270,1-0,"['d4', 'd6', 'Nf3', 'g6', 'Bg5', 'Bg7', 'Nbd2', 'Nf6', 'e4', 'c5']",Queen's Pawn Game
1943,1903,1-0,"['d4', 'c6', 'c4', 'd5', 'Nf3', 'Nf6', 'Nc3', 'Bg4', 'e3', 'e6']",Queen's Pawn Game
2042,2076,1-0,"['d4', 'c6', 'Bg5', 'd5', 'e3', 'h6', 'Bh4', 'Bf5', 'Nf3', 'Nf6']",Queen's Pawn Game
2398,2565,0-1,"['d4', 'd6', 'Nf3', 'Nf6', 'e3', 'g6', 'c4', 'Bg7', 'Be2', 'O-O']",Queen's Pawn Game
1887,1878,1/2-1/2,"['d4', 'c6', 'c3', 'd5', 'Nf3', 'Bf5', 'Bg5', 'Qb6', 'b3', 'e6']",Queen's Pawn Game
1980,1975,1-0,"['d4', 'c6', 'c4', 'd5', 'Nf3', 'Nf6', 'Nc3', 'dxc4', 'a4', 'Bf5']",Queen's Pawn Game
2227,2264,0-1,"['d4', 'c6', 'e3', 'd5', 'Nf3', 'Nf6', 'Bd3', 'Bg4', 'O-O', 'Bxf3']",Queen's Pawn Game
2207,2330,1-0,"['d4', 'a6', 'e4', 'c6', 'c4', 'd5', 'cxd5', 'cxd5', 'e5', 'Nc6']",Queen's Pawn Game
1877,1895,0-1,"['d4', 'd6', 'Nf3', 'c6', 'Nbd2', 'Nd7', 'e3', 'Ngf6', 'Bd3', 'e5']",Queen's Pawn Game
1894,1874,0-1,"['d4', 'c6', 'Nc3', 'd5', 'Bf4', 'Bf5', 'Qd2', 'Bg6', 'O-O-O', 'e6']",Queen's Pawn Game
2099,2076,0-1,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Bf5', 'cxd5', 'cxd5', 'Nf3', 'e6']",Queen's Pawn Game
1816,1806,1-0,"['d4', 'c6', 'Nf3', 'd5', 'Bf4', 'Bf5', 'e3', 'e6', 'Bd3', 'Bxd3']",Queen's Pawn Game
1987,1971,1-0,"['d4', 'd6', 'Nf3', 'g6', 'Bf4', 'Bg7', 'e3', 'Nf6', 'h3', 'O-O']",Queen's Pawn Game
1822,1806,1-0,"['d4', 'd5', 'e3', 'Bf5', 'Nf3', 'e6', 'b3', 'Bd6', 'Bb2', 'c6']",Queen's Pawn Game
1972,1958,0-1,"['d4', 'c6', 'Nf3', 'd5', 'e3', 'Bg4', 'Be2', 'e6', 'O-O', 'Nf6']",Queen's Pawn Game
1882,1858,0-1,"['d4', 'c6', 'c3', 'd5', 'e3', 'Nf6', 'Nf3', 'g6', 'c4', 'Bg7']",Queen's Pawn Game
2272,2178,1-0,"['d4', 'c6', 'e3', 'd6', 'Nf3', 'Qc7', 'h3', 'Nd7', 'Bd3', 'e5']",Queen's Pawn Game
2021,2022,1-0,"['d4', 'd6', 'g3', 'c6', 'Bg2', 'Nf6', 'c4', 'Nbd7', 'Nc3', 'e5']",Queen's Pawn Game
2052,2046,1-0,"['d4', 'd5', 'c3', 'h6', 'Bf4', 'Nf6', 'Bg3', 'e6', 'Nf3', 'a6']",Queen's Pawn Game
1833,1823,1-0,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Nf6', 'Bf4', 'Bg4', 'h3', 'Bh5']",Queen's Pawn Game
2472,2348,0-1,"['d4', 'd6', 'Nf3', 'c6', 'c4', 'Qc7', 'Nc3', 'Nd7', 'e4', 'e5']",Queen's Pawn Game
1907,1902,1-0,"['d4', 'd6', 'Nf3', 'e5', 'e3', 'Bg4', 'Be2', 'Bxf3', 'Bxf3', 'exd4']",Queen's Pawn Game
2181,2029,1/2-1/2,"['d4', 'd6', 'Nf3', 'Nf6', 'c4', 'Bg4', 'Nfd2', 'Bf3', 'Nxf3', 'd5']",Queen's Pawn Game
1908,2014,0-1,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Nf6', 'h3', 'e6', 'Nf3', 'Bb4']",Queen's Pawn Game
2179,2214,1-0,"['d4', 'd6', 'e4', 'Nd7', 'c4', 'c6', 'Nc3', 'e5', 'Nf3', 'h6']",Queen's Pawn Game
2209,2237,0-1,"['d4', 'd5', 'e3', 'Nf6', 'Nf3', 'c5', 'Be2', 'cxd4', 'Nxd4', 'Nc6']",Queen's Pawn Game
1858,1910,0-1,"['d4', 'd5', 'f3', 'Nf6', 'g4', 'h6', 'Bf4', 'Nc6', 'Bg3', 'e6']",Queen's Pawn Game
1821,1821,1-0,"['d4', 'd6', 'Bf4', 'Nf6', 'Nf3', 'e5', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8']",Queen's Pawn Game
2090,2128,0-1,"['d4', 'd5', 'e3', 'Bg4', 'Nf3', 'Bxf3', 'Qxf3', 'Nf6', 'c4', 'e6']",Queen's Pawn Game
1847,1848,1-0,"['d4', 'c6', 'c4', 'd5', 'e3', 'Nf6', 'Nf3', 'e6', 'Be2', 'Be7']",Queen's Pawn Game
1851,1821,0-1,"['d4', 'd5', 'c3', 'Nf6', 'Nf3', 'h6', 'g3', 'Bg4', 'Bg2', 'e6']",Queen's Pawn Game
1911,1909,1-0,"['d4', 'c6', 'e3', 'd5', 'Bd3', 'e6', 'Nd2', 'Nf6', 'f4', 'Bd6']",Queen's Pawn Game
2573,2438,0-1,"['d4', 'd6', 'Nf3', 'c6', 'c4', 'Qc7', 'Nc3', 'Nd7', 'Bf4', 'e5']",Queen's Pawn Game
2023,2015,1-0,"['d4', 'd5', 'e3', 'e6', 'Be2', 'Be7', 'Nf3', 'Nf6', 'c3', 'c5']",Queen's Pawn Game
2429,2453,1-0,"['d4', 'd6', 'Nf3', 'Nf6', 'c4', 'g6', 'Nc3', 'Bg7', 'Bg5', 'O-O']",Queen's Pawn Game
2071,1972,1-0,"['d4', 'd5', 'c3', 'Nf6', 'Bf4', 'e6', 'e3', 'c5', 'Nf3', 'cxd4']",Queen's Pawn Game
1949,1936,0-1,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'dxc4', 'a4', 'Bd7', 'e4', 'b5']",Queen's Pawn Game
1984,1900,0-1,"['d4', 'a6', 'c4', 'c6', 'e4', 'b5', 'f4', 'Bb7', 'd5', 'g6']",Queen's Pawn Game
1921,1919,1-0,"['d4', 'd5', 'g3', 'Nf6', 'Bg2', 'Bf5', 'c3', 'e6', 'f3', 'Bd6']",Queen's Pawn Game
2412,2402,0-1,"['d4', 'c6', 'c4', 'd5', 'cxd5', 'cxd5', 'Nc3', 'Nc6', 'g3', 'Nf6']",Queen's Pawn Game
1865,1875,1-0,"['d4', 'd6', 'e3', 'e5', 'dxe5', 'Nc6', 'exd6', 'Bxd6', 'c3', 'Qe7']",Queen's Pawn Game
2136,2038,1/2-1/2,"['d4', 'd6', 'e3', 'Nf6', 'Nf3', 'g6', 'Bd3', 'Bg7', 'b3', 'O-O']",Queen's Pawn Game
1840,1915,1/2-1/2,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'e6', 'e3', 'Be7']",Queen's Pawn Game
1960,2120,0-1,"['d4', 'd6', 'Bf4', 'Nf6', 'e3', 'c6', 'c4', 'Qb6', 'Qb3', 'Nbd7']",Queen's Pawn Game
2122,2187,1-0,"['d4', 'd6', 'e3', 'Nf6', 'Bd3', 'g6', 'Nd2', 'Bg7', 'c3', 'O-O']",Queen's Pawn Game
1899,1843,0-1,"['d4', 'd6', 'Nf3', 'Bd7', 'e3', 'Nf6', 'Bd3', 'e6', 'b3', 'd5']",Queen's Pawn Game
2004,1969,1-0,"['d4', 'd5', 'e3', 'Nf6', 'f4', 'c5', 'c3', 'c4', 'Nf3', 'Nc6']",Queen's Pawn Game
2052,2019,1-0,"['d4', 'c6', 'c4', 'g6', 'e4', 'Bg7', 'Nc3', 'd6', 'f4', 'Qc7']",Queen's Pawn Game
1867,1928,0-1,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'e6', 'cxd5', 'cxd5', 'Bf4', 'Nc6']",Queen's Pawn Game
2054,2070,0-1,"['d4', 'd5', 'e3', 'Nf6', 'f4', 'Bg4', 'Nf3', 'Bxf3', 'Qxf3', 'Nc6']",Queen's Pawn Game
2320,2018,1-0,"['d4', 'c6', 'e3', 'd5', 'Nf3', 'Nf6', 'g3', 'Bh3', 'Bg2', 'Bxg2']",Queen's Pawn Game
2260,2355,0-1,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Nf6', 'cxd5', 'cxd5', 'e4', 'Nc6']",Queen's Pawn Game
2474,2271,0-1,"['d4', 'c6', 'e3', 'd5', 'Nf3', 'Nf6', 'Bd3', 'Bg4', 'Nbd2', 'Nbd7']",Queen's Pawn Game
1987,2032,1-0,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'Bf5', 'Bg5', 'e6']",Queen's Pawn Game
2297,2079,0-1,"['d4', 'd6', 'e3', 'Nf6', 'f4', 'Bg4', 'Nf3', 'Bxf3', 'Qxf3', 'c6']",Queen's Pawn Game
1931,2048,0-1,"['d4', 'c6', 'e3', 'd5', 'Bd3', 'e6', 'f4', 'f5', 'Nf3', 'Nf6']",Queen's Pawn Game
1932,1945,1-0,"['d4', 'd5', 'c3', 'c6', 'e3', 'e6', 'Nf3', 'Nf6', 'Bd3', 'Be7']",Queen's Pawn Game
2071,1983,1-0,"['d4', 'd6', 'c3', 'g6', 'e3', 'Bg7', 'f3', 'Nf6', 'Bd3', 'O-O']",Queen's Pawn Game
2050,2037,0-1,"['d4', 'a6', 'Bf4', 'b5', 'e3', 'Bb7', 'c3', 'e6', 'Nd2', 'Nf6']",Queen's Pawn Game
2137,2153,1-0,"['d4', 'd5', 'e3', 'c6', 'c3', 'Nf6', 'f4', 'e5', 'Nf3', 'exf4']",Queen's Pawn Game
1901,1894,1-0,"['d4', 'c6', 'Nf3', 'd5', 'e3', 'e6', 'Bd3', 'Bd6', 'Nbd2', 'f6']",Queen's Pawn Game
2645,2721,0-1,"['d4', 'd5', 'e3', 'c6', 'Nf3', 'Nf6', 'Be2', 'Bf5', 'Ne5', 'e6']",Queen's Pawn Game
2093,2115,0-1,"['d4', 'c6', 'Nf3', 'd5', 'e3', 'Nf6', 'Nbd2', 'g6', 'Bd3', 'Bg7']",Queen's Pawn Game
2164,1864,1-0,"['d4', 'd6', 'e4', 'g6', 'Nc3', 'Bg7', 'h4', 'Nc6', 'd5', 'Ne5']",Queen's Pawn Game
2014,1999,1-0,"['d4', 'd5', 'e3', 'c6', 'Nc3', 'Nf6', 'Bd2', 'Bg4', 'Qe2', 'Bxe2']",Queen's Pawn Game
1927,1926,0-1,"['d4', 'd5', 'e3', 'e6', 'Nf3', 'f5', 'Bd3', 'Nf6', 'O-O', 'c5']",Queen's Pawn Game
1990,2022,0-1,"['d4', 'c6', 'c4', 'd5', 'cxd5', 'cxd5', 'e4', 'dxe4', 'f3', 'exf3']",Queen's Pawn Game
2178,2143,1-0,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'e6', 'g3', 'Nf6', 'Bg2', 'Be7']",Queen's Pawn Game
2049,2045,1-0,"['d4', 'd5', 'e3', 'e5', 'f4', 'exf4', 'exf4', 'Nf6', 'Nf3', 'Ne4']",Queen's Pawn Game
1902,1946,1-0,"['d4', 'd5', 'e3', 'c5', 'Nf3', 'Nc6', 'c4', 'e6', 'dxc5', 'Bxc5']",Queen's Pawn Game
1953,2021,0-1,"['d4', 'c6', 'c4', 'd5', 'Nf3', 'Bf5', 'Nc3', 'e6', 'cxd5', 'exd5']",Queen's Pawn Game
2248,2248,1/2-1/2,"['d4', 'd5', 'e3', 'c6', 'Bd3', 'Nf6', 'h3', 'e6', 'Nd2', 'Bd6']",Queen's Pawn Game
2181,2167,0-1,"['d4', 'c6', 'Bg5', 'd5', 'Nf3', 'h6', 'Bf4', 'g6', 'e3', 'Bg7']",Queen's Pawn Game
2018,2025,1-0,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'e6', 'Bf4', 'Bd6']",Queen's Pawn Game
1996,1971,0-1,"['d4', 'c6', 'c4', 'd5', 'cxd5', 'cxd5', 'Nc3', 'Nf6', 'g3', 'Bg4']",Queen's Pawn Game
1847,1823,1-0,"['d4', 'd6', 'Nf3', 'Nf6', 'Nbd2', 'Bf5', 'Nh4', 'Bg4', 'h3', 'Be6']",Queen's Pawn Game
1879,1880,1-0,"['d4', 'c6', 'c4', 'd5', 'Nc3', 'e6', 'Nf3', 'Nf6', 'Bg5', 'Be7']",Queen's Pawn Game
2465,2071,0-1,"['d4', 'd6', 'e3', 'e6', 'Nf3', 'Be7', 'Nbd2', 'Nf6', 'c3', 'O-O']",Queen's Pawn Game
2321,2389,1-0,"['d4', 'c6', 'Nf3', 'd5', 'Nc3', 'Nf6', 'e3', 'g6', 'Bd3', 'Bg7']",Queen's Pawn Game
2023,2018,0-1,"['d4', 'd5', 'e3', 'e6', 'f4', 'Be7', 'c3', 'Nf6', 'Nf3', 'O-O']",Queen's Pawn Game
1949,1922,1-0,"['d4', 'c6', 'c4', 'd5', 'e3', 'Bf5', 'Bd3', 'Bxd3', 'Qxd3', 'Nf6']",Queen's Pawn Game
2443,2451,0-1,"['d4', 'c6', 'Nc3', 'd5', 'e4', 'Nf6', 'e5', 'Ne4', 'f4', 'Nxc3']",Queen's Pawn Game
1917,1980,1/2-1/2,"['d4', 'c6', 'g3', 'd5', 'Bg2', 'Nf6', 'Nf3', 'Bg4', 'O-O', 'Nbd7']",Queen's Pawn Game
1954,1869,1-0,"['d4', 'c6', 'c4', 'd5', 'c5', 'Nf6', 'Nc3', 'e6', 'Bf4', 'Nbd7']",Queen's Pawn Game
2087,2175,0-1,"['d4', 'd6', 'Nf3', 'Nf6', 'e3', 'c5', 'b3', 'Nbd7', 'Bb2', 'e6']",Queen's Pawn Game
2233,2176,1-0,"['d4', 'c6', 'e3', 'Qb6', 'Bd3', 'g6', 'Nf3', 'Bg7', 'O-O', 'c5']",Queen's Pawn Game
1803,1802,1-0,"['d4', 'c6', 'Bf4', 'd5', 'e3', 'Nf6', 'Nf3', 'Bf5', 'Bd3', 'Bxd3']",Queen's Pawn Game
