WhiteElo,BlackElo,Result,Moves,OpeningName
2071,2082,1-0,"['d4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'Be3', 'Nf6', 'f3', 'O-O']",Queen's Pawn Game: Modern Defense
2064,2065,0-1,"['d4', 'g6', 'Bf4', 'Bg7', 'Nc3', 'd6', 'e4', 'Nf6', 'f3', 'O-O']",Queen's Pawn Game: Modern Defense
2081,2093,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'Nf6', 'Nf3', 'O-O', 'Bg5', 'd6']",Queen's Pawn Game: Modern Defense
2499,2402,1-0,"['d4', 'g6', 'Nf3', 'Bg7', 'g3', 'd6', 'Bg2', 'Bg4', 'O-O', 'Bxf3']",Queen's Pawn Game: Modern Defense
1900,1882,1-0,"['d4', 'g6', 'Be3', 'Bh6', 'Bxh6', 'Nxh6', 'Nc3', 'O-O', 'e4', 'e6']",Queen's Pawn Game: Modern Defense
1929,1923,0-1,"['d4', 'g6', 'e3', 'Bg7', 'f4', 'd5', 'Nf3', 'Nf6', 'Bd3', 'e6']",Queen's Pawn Game: Modern Defense
2279,2314,0-1,"['d4', 'g6', 'c3', 'Bg7', 'Nf3', 'e6', 'Bg5', 'Ne7', 'Bxe7', 'Qxe7']",Queen's Pawn Game: Modern Defense
1925,1965,1/2-1/2,"['d4', 'g6', 'Nf3', 'Bg7', 'e3', 'd5', 'Bd3', 'c5', 'c3', 'cxd4']",Queen's Pawn Game: Modern Defense
2109,2097,1-0,"['d4', 'g6', 'Nf3', 'Bg7', 'g3', 'd6', 'Bg2', 'Nf6', 'O-O', 'O-O']",Queen's Pawn Game: Modern Defense
1859,1830,0-1,"['d4', 'g6', 'Bf4', 'Bg7', 'e3', 'd6', 'c3', 'f5', 'Nf3', 'Nf6']",Queen's Pawn Game: Modern Defense
2284,2248,1-0,"['d4', 'g6', 'e3', 'Bg7', 'f4', 'c6', 'Nf3', 'd6', 'c4', 'Nf6']",Queen's Pawn Game: Modern Defense
2049,2395,0-1,"['d4', 'g6', 'Nc3', 'Bg7', 'e4', 'c5', 'd5', 'd6', 'Bc4', 'e5']",Queen's Pawn Game: Modern Defense
2023,2465,0-1,"['d4', 'g6', 'c4', 'Bg7', 'Nf3', 'c5', 'd5', 'd6', 'Nc3', 'Nf6']",Queen's Pawn Game: Modern Defense
1920,1972,1/2-1/2,"['d4', 'g6', 'Nf3', 'Bg7', 'e3', 'e6', 'Bd3', 'Ne7', 'h4', 'O-O']",Queen's Pawn Game: Modern Defense
2212,2194,0-1,"['d4', 'g6', 'Nc3', 'Bg7', 'Bf4', 'd6', 'Qd2', 'Nf6', 'Bh6', 'O-O']",Queen's Pawn Game: Modern Defense
2109,2139,1-0,"['d4', 'g6', 'Bf4', 'Bg7', 'Nc3', 'e5', 'dxe5', 'Ne7', 'e4', 'O-O']",Queen's Pawn Game: Modern Defense
1941,1895,1-0,"['d4', 'g6', 'Nf3', 'Bg7', 'Bf4', 'Nf6', 'Nc3', 'O-O', 'Nb5', 'd6']",Queen's Pawn Game: Modern Defense
2225,2093,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nf3', 'e6', 'e4', 'Ne7', 'Bd3', 'O-O']",Queen's Pawn Game: Modern Defense
2151,2214,1-0,"['d4', 'g6', 'e4', 'Bg7', 'f4', 'c5', 'c3', 'b6', 'Be3', 'Bb7']",Queen's Pawn Game: Modern Defense
2165,2087,1-0,"['d4', 'g6', 'Nf3', 'Bg7', 'Bf4', 'Nf6', 'Bg3', 'd6', 'e3', 'O-O']",Queen's Pawn Game: Modern Defense
2395,2075,1-0,"['d4', 'g6', 'Nf3', 'Bg7', 'c4', 'd6', 'Nc3', 'Nf6', 'Bf4', 'O-O']",Queen's Pawn Game: Modern Defense
2016,1982,0-1,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'Nf6', 'e4', 'O-O', 'Nf3', 'd6']",Queen's Pawn Game: Modern Defense
2674,2601,1-0,"['d4', 'g6', 'e4', 'Bg7', 'Nc3', 'd6', 'Be3', 'a6', 'Qd2', 'b5']",Queen's Pawn Game: Modern Defense
1996,2023,0-1,"['d4', 'g6', 'c4', 'Bg7', 'Nf3', 'd6', 'e3', 'Nd7', 'Be2', 'e5']",Queen's Pawn Game: Modern Defense
2078,2127,0-1,"['d4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'Be3', 'Nf6', 'f3', 'O-O']",Queen's Pawn Game: Modern Defense
2200,2275,0-1,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6']",Queen's Pawn Game: Modern Defense
2071,2049,1-0,"['d4', 'g6', 'Bf4', 'Bg7', 'e4', 'd6', 'Nc3', 'h6', 'Qd2', 'g5']",Queen's Pawn Game: Modern Defense
2084,2011,0-1,"['d4', 'g6', 'e4', 'Bg7', 'c3', 'f6', 'f4', 'Nh6', 'Nf3', 'Nf7']",Queen's Pawn Game: Modern Defense
2783,2258,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nf3', 'e5', 'dxe5', 'Nc6', 'Bf4', 'Qe7']",Queen's Pawn Game: Modern Defense
1809,1845,1-0,"['d4', 'g6', 'Bf4', 'Bg7', 'Nc3', 'Nf6', 'e4', 'd6', 'Nf3', 'b6']",Queen's Pawn Game: Modern Defense
2198,2249,0-1,"['d4', 'g6', 'e4', 'Bg7', 'Nf3', 'c6', 'Be3', 'd6', 'c4', 'Nf6']",Queen's Pawn Game: Modern Defense
2727,2597,1-0,"['d4', 'g6', 'Bf4', 'f6', 'e3', 'Nh6', 'h4', 'Nf7', 'h5', 'g5']",Queen's Pawn Game: Modern Defense
2239,2467,0-1,"['d4', 'g6', 'Nc3', 'Bg7', 'e4', 'c5', 'Be3', 'cxd4', 'f3', 'dxe3']",Queen's Pawn Game: Modern Defense
2244,2221,0-1,"['d4', 'g6', 'e4', 'Bg7', 'Nf3', 'd6', 'Bd3', 'Bg4', 'Be3', 'Nc6']",Queen's Pawn Game: Modern Defense
