WhiteElo,BlackElo,Result,Moves,OpeningName
2031,1998,0-1,"['e3', 'c6', 'f4', 'd6', 'Nf3', 'Nf6', 'd3', 'Bg4', 'Be2', 'Bxf3']",Van't Kruijs Opening
1855,1900,0-1,"['e3', 'd5', 'b3', 'Nc6', 'Bb2', 'Nf6', 'f3', 'e5', 'Qe2', 'd4']",Van't Kruijs Opening
2035,1996,0-1,"['e3', 'c5', 'Nc3', 'Nc6', 'b3', 'e5', 'Bb5', 'd6', 'Bxc6+', 'bxc6']",Van't Kruijs Opening
2042,2020,1-0,"['e3', 'c5', 'g3', 'Nc6', 'Bg2', 'd5', 'Nf3', 'e5', 'O-O', 'Bg4']",Van't Kruijs Opening
2231,2247,0-1,"['e3', 'd5', 'g3', 'Nf6', 'Bg2', 'c6', 'Ne2', 'e6', 'O-O', 'Be7']",Van't Kruijs Opening
2181,2197,1-0,"['e3', 'c5', 'Be2', 'Nc6', 'a3', 'd5', 'd3', 'e5', 'Nf3', 'f5']",Van't Kruijs Opening
1846,1854,1-0,"['e3', 'c6', 'd4', 'd5', 'Nc3', 'Nf6', 'e4', 'Bg4', 'f3', 'Bh5']",Van't Kruijs Opening
2148,2191,1-0,"['e3', 'd5', 'd4', 'c6', 'c3', 'Nf6', 'f4', 'Bf5', 'Nf3', 'Nbd7']",Van't Kruijs Opening
1903,1905,1-0,"['e3', 'Nc6', 'b3', 'd5', 'Bb2', 'e6', 'Bb5', 'g6', 'Bxc6+', 'bxc6']",Van't Kruijs Opening
2124,2156,0-1,"['e3', 'g6', 'a3', 'Bg7', 'Be2', 'Nf6', 'd3', 'O-O', 'h4', 'd5']",Van't Kruijs Opening
2181,2228,0-1,"['e3', 'd5', 'd4', 'Nf6', 'Bb5+', 'c6', 'Ba4', 'Bg4', 'Ne2', 'e6']",Van't Kruijs Opening
1904,1920,0-1,"['e3', 'e6', 'b3', 'Qe7', 'Bb2', 'b6', 'Qf3', 'Nc6', 'Nc3', 'Bb7']",Van't Kruijs Opening
1904,1875,1-0,"['e3', 'e6', 'g3', 'c5', 'Bg2', 'Nc6', 'Ne2', 'd5', 'O-O', 'Bd6']",Van't Kruijs Opening
1833,1820,0-1,"['e3', 'd6', 'c3', 'e6', 'Na3', 'Be7', 'Nc2', 'Nd7', 'd4', 'Nb8']",Van't Kruijs Opening
2382,2505,0-1,"['e3', 'Nf6', 'Qf3', 'g6', 'Nc3', 'Bg7', 'Be2', 'Nc6', 'Qg3', 'O-O']",Van't Kruijs Opening
2003,1988,0-1,"['e3', 'b6', 'd4', 'e6', 'f3', 'Bb7', 'Be2', 'Qh4+', 'g3', 'Qd8']",Van't Kruijs Opening
2108,2084,1-0,"['e3', 'g6', 'Nf3', 'Bg7', 'Nc3', 'Nf6', 'd4', 'O-O', 'e4', 'c6']",Van't Kruijs Opening
1967,1942,0-1,"['e3', 'c6', 'Ne2', 'd6', 'g3', 'Qb6', 'Bg2', 'Bd7', 'O-O', 'e6']",Van't Kruijs Opening
2066,2042,1-0,"['e3', 'e5', 'Nf3', 'e4', 'Nd4', 'd5', 'c4', 'c5', 'Nb3', 'd4']",Van't Kruijs Opening
2026,1973,0-1,"['e3', 'd5', 'd3', 'f5', 'c3', 'e5', 'b3', 'c5', 'a3', 'Be6']",Van't Kruijs Opening
2024,2032,0-1,"['e3', 'e6', 'f4', 'c5', 'Nf3', 'd5', 'd3', 'Nc6', 'Be2', 'Bd6']",Van't Kruijs Opening
2276,2294,0-1,"['e3', 'd5', 'Be2', 'Bf5', 'c3', 'e5', 'd4', 'e4', 'Qb3', 'c5']",Van't Kruijs Opening
2239,2189,1-0,"['e3', 'Nf6', 'd3', 'g6', 'Nf3', 'Bg7', 'Be2', 'O-O', 'O-O', 'd5']",Van't Kruijs Opening
1923,2055,1-0,"['e3', 'd5', 'Be2', 'e6', 'f3', 'Qh4+', 'g3', 'Qxg3+', 'hxg3', 'a6']",Van't Kruijs Opening
1847,1833,1-0,"['e3', 'e5', 'd4', 'exd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Nf3', 'Be7']",Van't Kruijs Opening
1935,1868,1-0,"['e3', 'd5', 'g4', 'c6', 'g5', 'Bf5', 'h4', 'e6', 'd3', 'Bd6']",Van't Kruijs Opening
1902,1885,1-0,"['e3', 'e5', 'b3', 'Nc6', 'Bb2', 'Nf6', 'Bb5', 'd6', 'Nc3', 'Be7']",Van't Kruijs Opening
2063,1921,0-1,"['e3', 'd5', 'f4', 'Bf5', 'Nf3', 'e6', 'h3', 'h6', 'g4', 'Bh7']",Van't Kruijs Opening
1813,1860,1/2-1/2,"['e3', 'e5', 'Ke2', 'd6', 'Kd3', 'Nc6', 'c4', 'Be6', 'Kc3', 'd5']",Van't Kruijs Opening
2084,1871,1-0,"['e3', 'e6', 'Bc4', 'Be7', 'Nf3', 'c5', 'Bb3', 'Nc6', 'd4', 'c4']",Van't Kruijs Opening
1814,1804,0-1,"['e3', 'd5', 'b3', 'e5', 'Bb2', 'Nc6', 'Ne2', 'Be7', 'Ng3', 'Bf6']",Van't Kruijs Opening
1925,1883,1/2-1/2,"['e3', 'd6', 'b3', 'Nf6', 'Bb2', 'Bg4', 'Nc3', 'Bxd1', 'Nxd1', 'g6']",Van't Kruijs Opening
1948,1961,1-0,"['e3', 'e6', 'd3', 'Ne7', 'Qf3', 'f6', 'Qg3', 'g6', 'Nc3', 'Bg7']",Van't Kruijs Opening
1931,1965,0-1,"['e3', 'e5', 'Be2', 'Nc6', 'Bf3', 'd5', 'c4', 'e4', 'Be2', 'Be6']",Van't Kruijs Opening
2099,2016,0-1,"['e3', 'c5', 'Be2', 'Nc6', 'h3', 'e5', 'd3', 'g6', 'Nf3', 'Bg7']",Van't Kruijs Opening
1972,1874,0-1,"['e3', 'e5', 'Be2', 'Nc6', 'd4', 'e4', 'd5', 'Ne5', 'b3', 'f5']",Van't Kruijs Opening
2090,2091,0-1,"['e3', 'c6', 'd4', 'd5', 'Be2', 'Bf5', 'f4', 'Nf6', 'Nf3', 'e6']",Van't Kruijs Opening
1967,2018,1-0,"['e3', 'e5', 'Nf3', 'f5', 'Nxe5', 'f4', 'Nf3', 'Nf6', 'exf4', 'Bc5']",Van't Kruijs Opening
1845,1910,0-1,"['e3', 'd5', 'b3', 'Nf6', 'Bb2', 'Bg4', 'Qe2', 'Bxe2', 'f3', 'Nc6']",Van't Kruijs Opening
2029,2005,1/2-1/2,"['e3', 'e6', 'd4', 'c5', 'Nf3', 'cxd4', 'exd4', 'd5', 'Bb5+', 'Bd7']",Van't Kruijs Opening
2082,2565,0-1,"['e3', 'Nf6', 'Be2', 'c5', 'Nf3', 'e6', 'O-O', 'Nc6', 'Ne1', 'Qc7']",Van't Kruijs Opening
2246,2248,1-0,"['e3', 'c5', 'd4', 'e6', 'c4', 'Nf6', 'Nf3', 'cxd4', 'exd4', 'd5']",Van't Kruijs Opening
2456,2458,1-0,"['e3', 'e5', 'Ne2', 'e4', 'g3', 'd5', 'd3', 'f5', 'dxe4', 'fxe4']",Van't Kruijs Opening
2225,2194,0-1,"['e3', 'e5', 'Qf3', 'd6', 'Qg3', 'Nf6', 'Nc3', 'Nc6', 'Nf3', 'Be6']",Van't Kruijs Opening
1877,1844,1-0,"['e3', 'e5', 'd3', 'd5', 'Nd2', 'c5', 'Ne2', 'f5', 'a3', 'Nf6']",Van't Kruijs Opening
2187,2170,0-1,"['e3', 'd5', 'Bb5+', 'c6', 'Be2', 'Nf6', 'd3', 'e5', 'Nf3', 'Bd6']",Van't Kruijs Opening
2346,2347,0-1,"['e3', 'c5', 'Nf3', 'e6', 'Nc3', 'd5', 'Be2', 'Nc6', 'd4', 'cxd4']",Van't Kruijs Opening
2081,2313,1-0,"['e3', 'a6', 'Be2', 'c5', 'Nf3', 'd5', 'O-O', 'e6', 'Ne1', 'Nf6']",Van't Kruijs Opening
1879,1975,0-1,"['e3', 'd5', 'Qf3', 'c6', 'b3', 'Nf6', 'Bb2', 'Nbd7', 'c4', 'e6']",Van't Kruijs Opening
1924,1937,1-0,"['e3', 'e5', 'b3', 'Nc6', 'Bb2', 'Bc5', 'Nc3', 'd6', 'Qe2', 'a6']",Van't Kruijs Opening
1827,1819,0-1,"['e3', 'c5', 'd4', 'e6', 'Nf3', 'cxd4', 'exd4', 'Nc6', 'c3', 'd5']",Van't Kruijs Opening
1886,1879,0-1,"['e3', 'c6', 'Bc4', 'd5', 'Bb3', 'Bf5', 'e4', 'Bg6', 'f3', 'dxe4']",Van't Kruijs Opening
1861,1884,0-1,"['e3', 'Nf6', 'Ne2', 'c5', 'd4', 'g6', 'dxc5', 'Bg7', 'Nbc3', 'O-O']",Van't Kruijs Opening
1955,1947,1-0,"['e3', 'c6', 'Ne2', 'd5', 'g3', 'Bf5', 'Bg2', 'e6', 'O-O', 'Nf6']",Van't Kruijs Opening
1827,1823,0-1,"['e3', 'Nf6', 'd4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Nf3', 'O-O']",Van't Kruijs Opening
1985,1983,0-1,"['e3', 'e5', 'd4', 'exd4', 'exd4', 'Nf6', 'b3', 'Be7', 'c4', 'O-O']",Van't Kruijs Opening
2266,2232,1-0,"['e3', 'd5', 'Be2', 'Bf5', 'c3', 'e6', 'Qb3', 'Qc8', 'd4', 'Nd7']",Van't Kruijs Opening
2004,1869,0-1,"['e3', 'd5', 'c4', 'Nf6', 'd4', 'c6', 'Nf3', 'Bg4', 'Nbd2', 'e6']",Van't Kruijs Opening
2566,2433,1/2-1/2,"['e3', 'e6', 'd3', 'c5', 'Nf3', 'd5', 'Be2', 'Nf6', 'O-O', 'Bd6']",Van't Kruijs Opening
2099,2147,0-1,"['e3', 'd5', 'b3', 'Nf6', 'Bb2', 'c5', 'Nf3', 'Nc6', 'Bb5', 'Bg4']",Van't Kruijs Opening
2085,2030,1-0,"['e3', 'c5', 'Be2', 'Nc6', 'h3', 'e5', 'd3', 'g6', 'Nf3', 'Bg7']",Van't Kruijs Opening
