WhiteElo,BlackElo,Result,Moves,OpeningName
751,602,0-1,"['e4', 'e5', 'Bc4', 'd6', 'd3', 'Nc6', 'Nf3', 'Nb4', 'Bg5', 'f6']",Bishop's Opening
1073,1139,1/2-1/2,"['e4', 'e5', 'Bc4', 'd6', 'Nf3', 'Nc6', 'O-O', 'Bg4', 'd4', 'Nxd4']",Bishop's Opening
994,973,1/2-1/2,"['e4', 'e5', 'Bc4', 'Nh6', 'Nc3', 'c6', 'Nf3', 'Bb4', 'O-O', 'Bxc3']",Bishop's Opening
711,498,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nf6', 'Nh3', 'Bb4', 'c3', 'Ba5']",Bishop's Opening
1153,1116,1-0,"['e4', 'e5', 'Bc4', 'h6', 'Nf3', 'd6', 'Nc3', 'Bg4', 'h3', 'Bxf3']",Bishop's Opening
1111,895,1-0,"['e4', 'e5', 'Bc4', 'd6', 'Nf3', 'Be6', 'Bxe6', 'fxe6', 'd4', 'exd4']",Bishop's Opening
913,899,1-0,"['e4', 'e5', 'Bc4', 'f6', 'Qh5+', 'g6', 'Qf3', 'Nc6', 'Bxg8', 'Rxg8']",Bishop's Opening
1128,1120,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Nc3', 'd6', 'f4', 'exf4', 'Nf3', 'Be6']",Bishop's Opening
851,873,1-0,"['e4', 'e5', 'Bc4', 'Qh4', 'Qf3', 'Be7', 'Qxf7+', 'Kd8', 'Qxg7', 'Qxe4+']",Bishop's Opening
1045,967,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'Nc3', 'Nf6', 'd3', 'Bb4', 'Bd2', 'Bxc3']",Bishop's Opening
996,1146,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'd4', 'd5', 'Bxd5', 'exd4', 'Nf3', 'Bd7']",Bishop's Opening
957,995,0-1,"['e4', 'e5', 'Bc4', 'Nh6', 'Nf3', 'Qf6', 'd3', 'Bc5', 'Be3', 'Bb4+']",Bishop's Opening
1113,1162,0-1,"['e4', 'e5', 'Bc4', 'd6', 'd3', 'Nf6', 'Nf3', 'Nc6', 'O-O', 'Bg4']",Bishop's Opening
1018,908,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Nf3', 'Nf6', 'd3', 'Bc5', 'Bg5', 'd6']",Bishop's Opening
810,836,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nf6', 'Nh3', 'Bc5', 'd3', 'O-O']",Bishop's Opening
1028,985,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'd3', 'Bc5', 'c3', 'Qf6', 'f3', 'Nge7']",Bishop's Opening
923,996,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'd4', 'exd4', 'Nf3', 'h6', 'Nxd4', 'Bc5']",Bishop's Opening
1126,1100,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qh5', 'g6', 'Qf3', 'Nf6', 'd3', 'Nd4']",Bishop's Opening
938,936,0-1,"['e4', 'e5', 'Bc4', 'd6', 'h3', 'Nc6', 'Nf3', 'Be6', 'd3', 'Bxc4']",Bishop's Opening
1136,1178,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Qf6', 'Qxf6', 'Nxf6', 'd3', 'a6']",Bishop's Opening
1120,1089,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Nc3', 'd6', 'h3', 'Nf6', 'd3', 'Be7']",Bishop's Opening
659,638,1-0,"['e4', 'e5', 'Bc4', 'Qf6', 'd3', 'Bc5', 'f3', 'Bxg1', 'Rxg1', 'Nc6']",Bishop's Opening
1125,1109,1-0,"['e4', 'e5', 'Bc4', 'd6', 'd3', 'Be6', 'Bxe6', 'fxe6', 'Nf3', 'Nf6']",Bishop's Opening
1071,1102,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'Nf3', 'Bc5', 'O-O', 'Nf6', 'Nc3', 'O-O']",Bishop's Opening
1015,1010,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nf6', 'Ne2', 'd6', 'h3', 'a6']",Bishop's Opening
1111,1134,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nf6', 'c3', 'Bc5', 'd3', 'd6']",Bishop's Opening
1163,1080,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Qe7', 'd3', 'f6', 'Nh3', 'Nb4']",Bishop's Opening
1142,1089,0-1,"['e4', 'e5', 'Bc4', 'Qf6', 'Qf3', 'Qxf3', 'Nxf3', 'Nc6', 'O-O', 'Nf6']",Bishop's Opening
866,955,0-1,"['e4', 'e5', 'Bc4', 'b6', 'Qf3', 'Qe7', 'Nc3', 'f6', 'd4', 'Bb7']",Bishop's Opening
1052,1068,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nf6', 'Qb3', 'd5', 'exd5', 'b5']",Bishop's Opening
955,1053,1/2-1/2,"['e4', 'e5', 'Bc4', 'Nc6', 'Nf3', 'Nf6', 'd4', 'd6', 'dxe5', 'dxe5']",Bishop's Opening
1023,984,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nh6', 'c3', 'd6', 'h3', 'Be6']",Bishop's Opening
996,1086,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'd4', 'exd4', 'Nf3', 'd6', 'Bxf7+', 'Kxf7']",Bishop's Opening
868,863,0-1,"['e4', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nf6', 'Nc3', 'a6', 'Nd5', 'b5']",Bishop's Opening
1099,1192,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Qh5', 'g6', 'Qf3', 'Nf6', 'Nc3', 'd6']",Bishop's Opening
1103,1039,1-0,"['e4', 'e5', 'Bc4', 'Nc6', 'Nf3', 'Nf6', 'd3', 'd5', 'exd5', 'Nxd5']",Bishop's Opening
