WhiteElo,BlackElo,Result,Moves,OpeningName
940,1049,0-1,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'f6', 'd4', 'fxe5', 'dxe5', 'g6']",Caro-Kann Defense
865,740,1-0,"['e4', 'c6', 'g3', 'd5', 'e5', 'c5', 'Bg2', 'd4', 'd3', 'Nc6']",Caro-Kann Defense
846,990,0-1,"['e4', 'c6', 'Qf3', 'd5', 'exd5', 'cxd5', 'c3', 'Nf6', 'c4', 'Bg4']",Caro-Kann Defense
1026,934,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'Nf6', 'd4', 'a6']",Caro-Kann Defense
1151,1075,1-0,"['e4', 'c6', 'd4', 'e6', 'Nf3', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'f5']",Caro-Kann Defense
1042,1053,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'f6', 'd4', 'fxe5', 'dxe5', 'Nd7']",Caro-Kann Defense
1001,1095,0-1,"['e4', 'c6', 'Qf3', 'd5', 'e5', 'c5', 'c4', 'Nc6', 'cxd5', 'Nxe5']",Caro-Kann Defense
996,959,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'd4', 'c3', 'c5', 'Bb5+', 'Nc6']",Caro-Kann Defense
1092,1110,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'c5', 'd4', 'cxd4', 'Qxd4', 'Nc6']",Caro-Kann Defense
876,984,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Bd3', 'Bg4', 'O-O', 'Nf6']",Caro-Kann Defense
1129,1097,0-1,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'Bg4', 'Be2', 'h6', 'O-O', 'e6']",Caro-Kann Defense
1195,1158,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Ng5', 'Nc6', 'Nxf7', 'Kxf7']",Caro-Kann Defense
1104,1178,1-0,"['e4', 'c6', 'Qf3', 'e6', 'Nc3', 'Nf6', 'e5', 'Nd5', 'Nxd5', 'cxd5']",Caro-Kann Defense
1036,885,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'Nf6', 'd4', 'Bg4']",Caro-Kann Defense
926,939,0-1,"['e4', 'c6', 'Nc3', 'e6', 'Nf3', 'a6', 'Ne5', 'f6', 'Ng4', 'd5']",Caro-Kann Defense
1149,1176,1-0,"['e4', 'c6', 'Nc3', 'd5', 'exd5', 'cxd5', 'd4', 'Nf6', 'Nf3', 'g6']",Caro-Kann Defense
944,954,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'Nc6', 'd4', 'Bg4']",Caro-Kann Defense
1154,1193,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'Nc6', 'Nc3', 'Nf6']",Caro-Kann Defense
1114,1119,0-1,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'Bg4', 'Be2', 'e6', 'Nc3', 'Bb4']",Caro-Kann Defense
1002,885,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Bg4', 'h3', 'Bh5', 'g4', 'Bg6']",Caro-Kann Defense
1068,1178,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Bg4', 'exd5', 'cxd5', 'd4', 'Nc6']",Caro-Kann Defense
994,1044,0-1,"['e4', 'c6', 'e5', 'd5', 'd4', 'Bf5', 'Bd3', 'Bxd3', 'Qxd3', 'e6']",Caro-Kann Defense
1072,990,1-0,"['e4', 'c6', 'f4', 'd5', 'e5', 'Bf5', 'd4', 'e6', 'Nf3', 'c5']",Caro-Kann Defense
1028,966,0-1,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'd4', 'Bg4']",Caro-Kann Defense
936,990,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'Bg4', 'h3', 'Bxf3', 'Qxf3', 'e6']",Caro-Kann Defense
991,902,1-0,"['e4', 'c6', 'f4', 'd5', 'Nc3', 'Nf6', 'e5', 'Bg4', 'Be2', 'Qc8']",Caro-Kann Defense
934,979,1-0,"['e4', 'c6', 'd4', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'f5', 'Nc3', 'Nf6']",Caro-Kann Defense
934,989,0-1,"['e4', 'c6', 'd4', 'Qb6', 'Bc4', 'c5', 'Bf4', 'cxd4', 'Nf3', 'Qa5+']",Caro-Kann Defense
1057,1049,0-1,"['e4', 'c6', 'Qf3', 'd5', 'Qb3', 'dxe4', 'f3', 'exf3', 'd4', 'Qxd4']",Caro-Kann Defense
1071,996,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'Nf6', 'Bb5+', 'Nc6']",Caro-Kann Defense
940,867,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'Bg4', 'Be2', 'Qd6', 'h3', 'Bxf3']",Caro-Kann Defense
1142,1113,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Bb5+', 'Nc6', 'Bxc6+', 'bxc6']",Caro-Kann Defense
1191,1160,0-1,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'c5', 'd4', 'cxd4', 'Qxd4', 'Nc6']",Caro-Kann Defense
822,1011,1-0,"['e4', 'c6', 'g3', 'd5', 'Bg2', 'Nf6', 'Nc3', 'd4', 'Nce2', 'e6']",Caro-Kann Defense
895,887,0-1,"['e4', 'c6', 'Nc3', 'd5', 'exd5', 'cxd5', 'Bb5+', 'Bd7', 'Qe2', 'd4']",Caro-Kann Defense
918,1061,0-1,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Nf6', 'Bd3', 'dxe4', 'Bxe4', 'Nxe4']",Caro-Kann Defense
1174,1114,1-0,"['e4', 'c6', 'Nf3', 'd5', 'd4', 'dxe4', 'Nc3', 'Bf5', 'Bf4', 'exf3']",Caro-Kann Defense
1176,1177,1-0,"['e4', 'c6', 'g3', 'd5', 'e5', 'Bf5', 'd4', 'e6', 'Nf3', 'h6']",Caro-Kann Defense
1072,1118,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Bg4', 'exd5', 'cxd5', 'Be2', 'Nf6']",Caro-Kann Defense
1195,1168,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'Nf6', 'Bb5+', 'Nc6']",Caro-Kann Defense
1152,1137,0-1,"['e4', 'c6', 'd4', 'a6', 'Nc3', 'e6', 'Be3', 'd5', 'exd5', 'exd5']",Caro-Kann Defense
1005,1062,1-0,"['e4', 'c6', 'Be2', 'd5', 'e5', 'f6', 'd4', 'fxe5', 'dxe5', 'Bf5']",Caro-Kann Defense
937,1015,0-1,"['e4', 'c6', 'Qf3', 'd5', 'exd5', 'cxd5', 'Bb5+', 'Bd7', 'Bxd7+', 'Qxd7']",Caro-Kann Defense
1164,1162,0-1,"['e4', 'c6', 'f4', 'd5', 'e5', 'f6', 'd4', 'fxe5', 'dxe5', 'e6']",Caro-Kann Defense
1173,1167,0-1,"['e4', 'c6', 'f4', 'd5', 'd4', 'dxe4', 'Nc3', 'Bf5', 'Qh5', 'Bg6']",Caro-Kann Defense
1174,1198,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'd4', 'cxd4']",Caro-Kann Defense
1039,1032,1-0,"['e4', 'c6', 'Nc3', 'd5', 'e5', 'Bf5', 'd4', 'e6', 'Nf3', 'c5']",Caro-Kann Defense
1172,1118,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Bd3', 'Bg4', 'O-O', 'dxe4', 'Bxe4', 'Nf6']",Caro-Kann Defense
1038,1036,1-0,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd3', 'Nc6', 'Be2', 'e5']",Caro-Kann Defense
1165,1073,0-1,"['e4', 'c6', 'a3', 'd5', 'e5', 'Nd7', 'd4', 'Nb6', 'Nf3', 'e6']",Caro-Kann Defense
1160,1131,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'Bf5', 'd4', 'c5', 'Bd3', 'Bg6']",Caro-Kann Defense
1096,1149,0-1,"['e4', 'c6', 'Nf3', 'd5', 'c3', 'c5', 'exd5', 'Qxd5', 'd4', 'Nc6']",Caro-Kann Defense
1095,1163,0-1,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'Nf6', 'Nxf6+', 'exf6']",Caro-Kann Defense
1167,1126,0-1,"['e4', 'c6', 'Nf3', 'e6', 'c4', 'Qa5', 'Nc3', 'Qb6', 'd4', 'c5']",Caro-Kann Defense
1098,1009,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'Nf6', 'Be2', 'Nc6']",Caro-Kann Defense
1159,1150,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'Bg4', 'Nc3', 'Nc6']",Caro-Kann Defense
853,858,1-0,"['e4', 'c6', 'd4', 'h6', 'c4', 'Nf6', 'Nc3', 'd5', 'f3', 'dxc4']",Caro-Kann Defense
1092,1095,0-1,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'e6', 'c3', 'Nd7', 'd4', 'c5']",Caro-Kann Defense
1025,950,1-0,"['e4', 'c6', 'Nf3', 'e6', 'Nc3', 'a6', 'Bc4', 'd5', 'exd5', 'cxd5']",Caro-Kann Defense
1050,1075,1-0,"['e4', 'c6', 'Qf3', 'd5', 'e5', 'Nd7', 'd4', 'c5', 'c3', 'cxd4']",Caro-Kann Defense
905,881,0-1,"['e4', 'c6', 'Qf3', 'd5', 'exd5', 'cxd5', 'c4', 'dxc4', 'Bxc4', 'Nf6']",Caro-Kann Defense
1044,1101,1-0,"['e4', 'c6', 'Nc3', 'd5', 'exd5', 'cxd5', 'Nf3', 'Bg4', 'd4', 'e6']",Caro-Kann Defense
1040,906,0-1,"['e4', 'c6', 'Nc3', 'd5', 'exd5', 'cxd5', 'Nxd5', 'Qxd5', 'c4', 'Qc5']",Caro-Kann Defense
550,1182,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'Bf5', 'd3', 'Bxe4']",Caro-Kann Defense
1031,972,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'Bf5', 'Bb5+', 'Nc6']",Caro-Kann Defense
975,994,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'Nf6', 'd4', 'g6']",Caro-Kann Defense
849,935,0-1,"['e4', 'c6', 'd4', 'd5', 'c3', 'dxe4', 'Bf4', 'Nf6', 'f3', 'exf3']",Caro-Kann Defense
966,918,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'c5', 'exd5', 'Nf6', 'Bb5+', 'Nbd7']",Caro-Kann Defense
939,917,1-0,"['e4', 'c6', 'Nf3', 'd5', 'e5', 'e6', 'd4', 'c5', 'Nbd2', 'cxd4']",Caro-Kann Defense
994,1063,1/2-1/2,"['e4', 'c6', 'Nc3', 'd6', 'd4', 'Nf6', 'Nf3', 'Ng4', 'h3', 'Nxf2']",Caro-Kann Defense
1100,1084,1-0,"['e4', 'c6', 'Nc3', 'd5', 'd4', 'dxe4', 'Nxe4', 'Nf6', 'Nxf6+', 'exf6']",Caro-Kann Defense
1187,1156,0-1,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Bg4', 'h3', 'Bxf3', 'Qxf3', 'e6']",Caro-Kann Defense
1136,1125,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Bd3', 'dxe4', 'Bxe4', 'Nf6', 'Qe2', 'Bg4']",Caro-Kann Defense
1078,1086,0-1,"['e4', 'c6', 'a3', 'd5', 'e5', 'e6', 'Nf3', 'b6', 'h3', 'a5']",Caro-Kann Defense
1000,972,0-1,"['e4', 'c6', 'd4', 'b5', 'Nf3', 'Qb6', 'Be3', 'c5', 'd5', 'Na6']",Caro-Kann Defense
754,911,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'dxe4', 'Ng5', 'Nf6', 'd3', 'exd3']",Caro-Kann Defense
1033,1020,1-0,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Bg4', 'h3', 'Bh5', 'g4', 'Bg6']",Caro-Kann Defense
564,664,1-0,"['e4', 'c6', 'f3', 'd5', 'Nc3', 'Nf6', 'd4', 'Nbd7', 'e5', 'Nh5']",Caro-Kann Defense
935,1088,0-1,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'Bf5', 'Nc3', 'e6']",Caro-Kann Defense
1161,1148,1-0,"['e4', 'c6', 'Nf3', 'd5', 'c3', 'dxe4', 'Nd4', 'Nf6', 'f3', 'exf3']",Caro-Kann Defense
689,705,1-0,"['e4', 'c6', 'Qh5', 'Nf6', 'Qf3', 'e5', 'Ne2', 'h5', 'h4', 'd6']",Caro-Kann Defense
