WhiteElo,BlackElo,Result,Moves,OpeningName
951,918,0-1,"['d4', 'e6', 'Nf3', 'd5', 'e3', 'c5', 'dxc5', 'Bxc5', 'Bb5+', 'Nc6']",Horwitz Defense
923,1094,0-1,"['d4', 'e6', 'Nf3', 'h6', 'Ne5', 'd6', 'Ng4', 'c5', 'c3', 'cxd4']",Horwitz Defense
1168,1190,1-0,"['d4', 'e6', 'e3', 'd5', 'Nf3', 'c5', 'c3', 'cxd4', 'cxd4', 'Nf6']",Horwitz Defense
899,921,0-1,"['d4', 'e6', 'Nf3', 'Qf6', 'Nc3', 'c6', 'Bg5', 'Qg6', 'e3', 'h6']",Horwitz Defense
1046,1034,1-0,"['d4', 'e6', 'Bf4', 'Nc6', 'Nf3', 'Nxd4', 'Nxd4', 'e5', 'Bxe5', 'Bc5']",Horwitz Defense
908,976,0-1,"['d4', 'e6', 'e4', 'd5', 'e5', 'Nc6', 'Nc3', 'Bb4', 'Nf3', 'Nge7']",Horwitz Defense
648,675,0-1,"['d4', 'e6', 'e4', 'f5', 'Qh5+', 'g6', 'Qe2', 'c5', 'd5', 'a6']",Horwitz Defense
419,481,0-1,"['d4', 'e6', 'Bf4', 'Bb4+', 'Nd2', 'Qe7', 'c3', 'Ba5', 'Qb3', 'g5']",Horwitz Defense
1172,1182,0-1,"['d4', 'e6', 'c3', 'f5', 'Qc2', 'Nf6', 'f3', 'Be7', 'e3', 'O-O']",Horwitz Defense
848,860,0-1,"['d4', 'e6', 'Bf4', 'Bb4+', 'c3', 'Bd6', 'Na3', 'Bxf4', 'Nb5', 'Qh4']",Horwitz Defense
944,857,0-1,"['d4', 'e6', 'e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'Nc6', 'Nc3', 'Qa5']",Horwitz Defense
1139,1101,1-0,"['d4', 'e6', 'e3', 'a6', 'Nf3', 'c5', 'Be2', 'cxd4', 'O-O', 'dxe3']",Horwitz Defense
1100,1038,1-0,"['d4', 'e6', 'e4', 'b6', 'c4', 'Bb7', 'Nc3', 'g6', 'f4', 'Bg7']",Horwitz Defense
1172,1176,0-1,"['d4', 'e6', 'Nf3', 'Be7', 'e4', 'g5', 'Nc3', 'd6', 'Bb5+', 'Bd7']",Horwitz Defense
817,943,0-1,"['d4', 'e6', 'e3', 'Be7', 'Bd3', 'c5', 'c3', 'cxd4', 'cxd4', 'Bb4+']",Horwitz Defense
994,1019,1-0,"['d4', 'e6', 'Nf3', 'd5', 'Nc3', 'Nc6', 'e4', 'dxe4', 'Nxe4', 'b6']",Horwitz Defense
876,722,1-0,"['d4', 'e6', 'e4', 'Nc6', 'e5', 'd5', 'Nf3', 'Bd7', 'g4', 'Nce7']",Horwitz Defense
834,789,1-0,"['d4', 'e6', 'e4', 'Bb4+', 'Nc3', 'Qf6', 'Nf3', 'Bd6', 'Bg5', 'Qg6']",Horwitz Defense
940,931,1-0,"['d4', 'e6', 'e3', 'd5', 'c4', 'Nc6', 'Nc3', 'Nf6', 'Nf3', 'Bb4']",Horwitz Defense
