WhiteElo,BlackElo,Result,Moves,OpeningName
883,977,0-1,"['e4', 'e5', 'Nf3', 'd6', 'Nc3', 'Nc6', 'd3', 'Nd4', 'Nd5', 'Nxf3+']",Philidor Defense
1049,906,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Nc6', 'd4', 'Be6', 'd5', 'Bg4']",Philidor Defense
1142,1101,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Nc3', 'Be6', 'd4', 'Nf6', 'd5', 'Bd7']",Philidor Defense
1089,1059,1-0,"['e4', 'e5', 'Nf3', 'd6', 'd4', 'Bg4', 'Be2', 'Bxf3', 'Bxf3', 'Nc6']",Philidor Defense
838,866,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Nf6', 'Nc3', 'Qe7', 'd3', 'Be6']",Philidor Defense
1133,1114,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'h6', 'O-O', 'Nf6', 'd4', 'exd4']",Philidor Defense
980,973,0-1,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Bg4', 'Nc3', 'Bxf3', 'Qxf3', 'Nf6']",Philidor Defense
1067,1066,1-0,"['e4', 'e5', 'Nf3', 'd6', 'd4', 'Qf6', 'd5', 'Be7', 'Bb5+', 'c6']",Philidor Defense
1012,1016,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Nf6', 'O-O', 'g6', 'd3', 'Bg7']",Philidor Defense
1099,1066,0-1,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'h6', 'Nxe5', 'dxe5', 'Bxf7+', 'Kxf7']",Philidor Defense
1092,1125,0-1,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Qe7', 'd3', 'Nc6', 'Ng5', 'Be6']",Philidor Defense
855,1139,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Be2', 'Be7', 'd3', 'Nf6', 'Nc3', 'O-O']",Philidor Defense
990,967,1-0,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Ne7', 'd3', 'g6', 'Ng5', 'Bh6']",Philidor Defense
935,1048,0-1,"['e4', 'e5', 'Nf3', 'd6', 'Bc4', 'Qe7', 'd4', 'Be6', 'Bxe6', 'Qxe6']",Philidor Defense
912,1016,0-1,"['e4', 'e5', 'Nf3', 'd6', 'Qe2', 'Nc6', 'c3', 'Bg4', 'Qd3', 'a6']",Philidor Defense
