WhiteElo,BlackElo,Result,Moves,OpeningName
780,645,1-0,"['e4', 'd6', 'Nf3', 'g6', 'Bd3', 'Nf6', 'O-O', 'Bg7', 'Nc3', 'O-O']",Pirc Defense
742,642,0-1,"['e4', 'd6', 'Qf3', 'Nf6', 'Bc4', 'g6', 'Qb3', 'e6', 'Bb5+', 'c6']",Pirc Defense
860,717,1-0,"['e4', 'd6', 'Bc4', 'e6', 'Qf3', 'Bd7', 'Nh3', 'Be7', 'O-O', 'h5']",Pirc Defense
863,859,1-0,"['e4', 'd6', 'd3', 'Nc6', 'Nf3', 'Bg4', 'h3', 'Bxf3', 'Qxf3', 'Nf6']",Pirc Defense
999,1047,0-1,"['e4', 'd6', 'd4', 'Qd7', 'e5', 'Qg4', 'f3', 'Qg6', 'Bd3', 'Qxg2']",Pirc Defense
1072,1090,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'Bb5+', 'c6', 'Ba4', 'g6', 'O-O', 'Nxe4']",Pirc Defense
1045,1050,0-1,"['e4', 'd6', 'd4', 'e6', 'Nc3', 'Be7', 'Nf3', 'Bd7', 'Bd3', 'Nc6']",Pirc Defense
1093,1128,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'd4', 'Bg7', 'Bg5', 'O-O']",Pirc Defense
1126,1192,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'c6', 'c3', 'Qa5', 'Bd2', 'e5']",Pirc Defense
637,673,0-1,"['e4', 'd6', 'Nf3', 'b5', 'Bxb5+', 'Bd7', 'Bc4', 'a6', 'Nc3', 'Bc6']",Pirc Defense
698,763,0-1,"['e4', 'd6', 'Nf3', 'e5', 'Nc3', 'Nc6', 'Bc4', 'Be6', 'Qe2', 'Bxc4']",Pirc Defense
679,723,1-0,"['e4', 'd6', 'Nf3', 'e6', 'd4', 'e5', 'Bc4', 'exd4', 'Ng5', 'f6']",Pirc Defense
671,1024,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Bc4', 'c6', 'O-O', 'Nbd7', 'Nc3', 'e5']",Pirc Defense
1056,975,0-1,"['e4', 'd6', 'c3', 'f6', 'Nf3', 'b6', 'd4', 'Bb7', 'Bb5+', 'c6']",Pirc Defense
951,975,1-0,"['e4', 'd6', 'd4', 'Nf6', 'e5', 'Nfd7', 'exd6', 'cxd6', 'Nf3', 'g6']",Pirc Defense
545,651,0-1,"['e4', 'd6', 'Qh5', 'Nf6', 'Qf5', 'g6', 'Qb5+', 'Nc6', 'Qc4', 'Bg7']",Pirc Defense
1125,1127,0-1,"['e4', 'd6', 'Bc4', 'Nf6', 'e5', 'dxe5', 'Qe2', 'Qd6', 'Nf3', 'Nc6']",Pirc Defense
