WhiteElo,BlackElo,Result,Moves,OpeningName
1128,1115,1-0,"['d4', 'd6', 'e4', 'Nd7', 'Nf3', 'c6', 'Bf4', 'h6', 'Bd3', 'Qc7']",Queen's Pawn Game
687,805,0-1,"['d4', 'f6', 'Bf4', 'e5', 'dxe5', 'Nc6', 'exf6', 'Nxf6', 'Nc3', 'Bd6']",Queen's Pawn Game
996,1049,1-0,"['d4', 'd5', 'c3', 'Nf6', 'e4', 'dxe4', 'f4', 'g6', 'g4', 'h6']",Queen's Pawn Game
1067,1078,1-0,"['d4', 'd5', 'e3', 'Nc6', 'a3', 'Nf6', 'h3', 'e6', 'Bb5', 'Bd7']",Queen's Pawn Game
1109,1154,0-1,"['d4', 'd5', 'e3', 'Bf5', 'Nf3', 'e6', 'Bd3', 'Bxd3', 'cxd3', 'Nc6']",Queen's Pawn Game
1133,1019,1-0,"['d4', 'd5', 'e3', 'c6', 'Bd3', 'e6', 'f4', 'Nf6', 'Nd2', 'Be7']",Queen's Pawn Game
945,1005,0-1,"['d4', 'd5', 'e3', 'e6', 'c4', 'c5', 'cxd5', 'cxd4', 'dxe6', 'Bxe6']",Queen's Pawn Game
1185,1076,1-0,"['d4', 'd5', 'e3', 'Nf6', 'c4', 'c5', 'h3', 'Ne4', 'f3', 'Nf6']",Queen's Pawn Game
938,984,0-1,"['d4', 'd5', 'f3', 'e6', 'c3', 'Bd6', 'Nh3', 'Nf6', 'Nf2', 'Nbd7']",Queen's Pawn Game
1189,1147,0-1,"['d4', 'c6', 'c4', 'h6', 'Nc3', 'Nf6', 'd5', 'e6', 'e4', 'Qa5']",Queen's Pawn Game
699,743,0-1,"['d4', 'h6', 'Nf3', 'f6', 'Bf4', 'd6', 'Nh4', 'Rh7', 'Ng6', 'Qd7']",Queen's Pawn Game
899,881,0-1,"['d4', 'd6', 'e4', 'e5', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8', 'Nf3', 'Nc6']",Queen's Pawn Game
929,1031,1-0,"['d4', 'd5', 'e3', 'e6', 'Nf3', 'Bd6', 'c3', 'Nf6', 'Bd3', 'Ne4']",Queen's Pawn Game
527,661,0-1,"['d4', 'd5', 'e3', 'Nf6', 'c3', 'Nc6', 'Nh3', 'e5', 'Na3', 'Qe7']",Queen's Pawn Game
1084,1052,1/2-1/2,"['d4', 'h6', 'c4', 'g5', 'Nc3', 'Nf6', 'Nf3', 'd5', 'e3', 'dxc4']",Queen's Pawn Game
855,938,1-0,"['d4', 'd5', 'Bd2', 'Nc6', 'Nc3', 'Nxd4', 'e3', 'Nc6', 'h3', 'e5']",Queen's Pawn Game
786,809,1-0,"['d4', 'd6', 'Bf4', 'e5', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8', 'Bxe5', 'Bb4+']",Queen's Pawn Game
921,907,0-1,"['d4', 'd5', 'e3', 'Nc6', 'Nf3', 'Nf6', 'Nc3', 'Bg4', 'Be2', 'e5']",Queen's Pawn Game
1021,1023,0-1,"['d4', 'c6', 'Bf4', 'd6', 'e3', 'e5', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8']",Queen's Pawn Game
945,911,0-1,"['d4', 'c6', 'Bf4', 'd5', 'e3', 'Nd7', 'g4', 'e5', 'dxe5', 'f6']",Queen's Pawn Game
1050,1058,1/2-1/2,"['d4', 'd5', 'e3', 'Bf5', 'Be2', 'e6', 'Nf3', 'Nf6', 'O-O', 'g6']",Queen's Pawn Game
801,884,0-1,"['d4', 'd5', 'e3', 'Nf6', 'Nc3', 'Bf5', 'Bd3', 'g6', 'Bxf5', 'gxf5']",Queen's Pawn Game
1145,1149,0-1,"['d4', 'd6', 'h3', 'Nf6', 'c4', 'c6', 'Nc3', 'b6', 'e4', 'e6']",Queen's Pawn Game
1052,1054,1-0,"['d4', 'c6', 'c4', 'd5', 'Nf3', 'dxc4', 'e4', 'Qa5+', 'Nc3', 'e6']",Queen's Pawn Game
1111,1123,0-1,"['d4', 'c6', 'e4', 'd5', 'e5', 'Bf5', 'Nc3', 'e6', 'Be2', 'Bb4']",Queen's Pawn Game
1086,1092,1-0,"['d4', 'd5', 'b3', 'c5', 'Bb2', 'c4', 'bxc4', 'e6', 'cxd5', 'exd5']",Queen's Pawn Game
1111,1128,0-1,"['d4', 'd5', 'e3', 'e6', 'Bd2', 'c5', 'Nc3', 'Nc6', 'dxc5', 'Bxc5']",Queen's Pawn Game
1125,1099,1-0,"['d4', 'd6', 'Nf3', 'Nf6', 'c4', 'Nc6', 'Nc3', 'a6', 'Bg5', 'b5']",Queen's Pawn Game
736,729,0-1,"['d4', 'd6', 'e4', 'g6', 'd5', 'Bg7', 'Bd3', 'Na6', 'a3', 'Nc5']",Queen's Pawn Game
1160,1177,1-0,"['d4', 'd5', 'c3', 'Nf6', 'Qa4+', 'Bd7', 'Qb3', 'Nc6', 'Qxb7', 'Rb8']",Queen's Pawn Game
