WhiteElo,BlackElo,Result,Moves,OpeningName
671,654,0-1,"['d4', 'd5', 'Bf4', 'Nf6', 'e3', 'Nc6', 'c3', 'Bf5', 'Nd2', 'Ne4']",Queen's Pawn Game: Accelerated London System
1070,996,1-0,"['d4', 'd5', 'Bf4', 'e6', 'e3', 'Nf6', 'Nf3', 'Nbd7', 'c3', 'h6']",Queen's Pawn Game: Accelerated London System
1060,1097,1-0,"['d4', 'd5', 'Bf4', 'Nc6', 'Nf3', 'Bf5', 'e3', 'Nf6', 'Bd3', 'e6']",Queen's Pawn Game: Accelerated London System
1089,1094,0-1,"['d4', 'd5', 'Bf4', 'Nc6', 'Nf3', 'Bg4', 'e3', 'f6', 'h3', 'Bxf3']",Queen's Pawn Game: Accelerated London System
1181,1151,1-0,"['d4', 'd5', 'Bf4', 'e6', 'e3', 'Bd6', 'Bg3', 'Nf6', 'f4', 'Nc6']",Queen's Pawn Game: Accelerated London System
1025,1013,0-1,"['d4', 'd5', 'Bf4', 'Nc6', 'Nc3', 'f6', 'Nb5', 'e5', 'dxe5', 'fxe5']",Queen's Pawn Game: Accelerated London System
976,1061,0-1,"['d4', 'd5', 'Bf4', 'Bf5', 'Nc3', 'Nf6', 'Nb5', 'e5', 'dxe5', 'Ne4']",Queen's Pawn Game: Accelerated London System
1086,1141,0-1,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'Nf6', 'Bb5', 'a6', 'Bxc6+', 'bxc6']",Queen's Pawn Game: Accelerated London System
882,1012,1-0,"['d4', 'd5', 'Bf4', 'Nd7', 'e3', 'c5', 'c3', 'cxd4', 'exd4', 'Ngf6']",Queen's Pawn Game: Accelerated London System
1156,1151,1-0,"['d4', 'd5', 'Bf4', 'Nc6', 'Nf3', 'f6', 'e3', 'a6', 'Bd3', 'Bg4']",Queen's Pawn Game: Accelerated London System
886,891,0-1,"['d4', 'd5', 'Bf4', 'Nf6', 'Nc3', 'a6', 'e3', 'Nc6', 'Bd3', 'e6']",Queen's Pawn Game: Accelerated London System
972,950,0-1,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'Bf5', 'c4', 'Nf6', 'Nc3', 'e6']",Queen's Pawn Game: Accelerated London System
987,991,1-0,"['d4', 'd5', 'Bf4', 'Na6', 'e3', 'f6', 'Bd3', 'g5', 'Bg3', 'Nh6']",Queen's Pawn Game: Accelerated London System
1112,1161,0-1,"['d4', 'd5', 'Bf4', 'e5', 'e3', 'exf4', 'exf4', 'Nc6', 'c3', 'Nf6']",Queen's Pawn Game: Accelerated London System
853,884,1-0,"['d4', 'd5', 'Bf4', 'Nf6', 'e3', 'Bf5', 'Bd3', 'e6', 'Bxf5', 'exf5']",Queen's Pawn Game: Accelerated London System
1005,1009,0-1,"['d4', 'd5', 'Bf4', 'Nc6', 'Nf3', 'f6', 'e3', 'e6', 'c3', 'Bd6']",Queen's Pawn Game: Accelerated London System
1041,1004,1-0,"['d4', 'd5', 'Bf4', 'Nd7', 'e3', 'c5', 'dxc5', 'Nxc5', 'Bb5+', 'Nd7']",Queen's Pawn Game: Accelerated London System
1141,1099,1-0,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'Nf6', 'Bd3', 'Bg4', 'Nf3', 'e6']",Queen's Pawn Game: Accelerated London System
900,909,0-1,"['d4', 'd5', 'Bf4', 'b6', 'e3', 'c5', 'Nf3', 'c4', 'c3', 'b5']",Queen's Pawn Game: Accelerated London System
1176,1183,0-1,"['d4', 'd5', 'Bf4', 'Nc6', 'c3', 'Nf6', 'Nd2', 'e6', 'Ngf3', 'Be7']",Queen's Pawn Game: Accelerated London System
