WhiteElo,BlackElo,Result,Moves,OpeningName
845,833,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'e5', 'c3', 'd3', 'Ng3', 'Nf6']",Scandinavian Defense
1129,1143,0-1,"['e4', 'd5', 'e5', 'd4', 'd3', 'Bf5', 'Qh5', 'Nc6', 'Qxf5', 'Qd5']",Scandinavian Defense
879,899,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nb5', 'a6', 'Nxd4', 'Qxd4', 'c3', 'Qxe4+']",Scandinavian Defense
972,913,1-0,"['e4', 'd5', 'e5', 'd4', 'Nf3', 'Nc6', 'c3', 'e6', 'cxd4', 'Nxd4']",Scandinavian Defense
864,857,0-1,"['e4', 'd5', 'f3', 'Nf6', 'Nc3', 'e5', 'd4', 'Nc6', 'dxe5', 'Nxe5']",Scandinavian Defense
940,925,1-0,"['e4', 'd5', 'Nc3', 'd4', 'Nd5', 'c6', 'Nf4', 'e5', 'Nd3', 'Bd6']",Scandinavian Defense
844,876,0-1,"['e4', 'd5', 'Bd3', 'b6', 'h3', 'Bb7', 'Nf3', 'Nf6', 'O-O', 'dxe4']",Scandinavian Defense
1071,1022,1-0,"['e4', 'd5', 'f4', 'Nc6', 'Nc3', 'd4', 'Nd5', 'e6', 'Bc4', 'exd5']",Scandinavian Defense
1068,934,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nc6', 'f4', 'Be7', 'c4', 'dxc4']",Scandinavian Defense
951,861,1-0,"['e4', 'd5', 'Qe2', 'd4', 'Nf3', 'e5', 'Nxe5', 'd3', 'cxd3', 'c5']",Scandinavian Defense
1036,1073,1-0,"['e4', 'd5', 'e5', 'Be6', 'f4', 'g6', 'g3', 'Bg7', 'Nf3', 'Nh6']",Scandinavian Defense
1096,1087,0-1,"['e4', 'd5', 'e5', 'Bf5', 'd4', 'e6', 'h3', 'Nc6', 'Nf3', 'Nb4']",Scandinavian Defense
967,950,1-0,"['e4', 'd5', 'f4', 'dxe4', 'd4', 'Qxd4', 'Qxd4', 'Nf6', 'Bc4', 'Nc6']",Scandinavian Defense
834,849,1-0,"['e4', 'd5', 'Qh5', 'g6', 'Qe5', 'Qd6', 'Qxh8', 'dxe4', 'Qxg8', 'Qf6']",Scandinavian Defense
999,1119,1-0,"['e4', 'd5', 'exd5', 'e6', 'dxe6', 'Bxe6', 'Nc3', 'Nc6', 'Nf3', 'Bd5']",Scandinavian Defense
1129,1166,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'e5', 'Nf3', 'f6', 'd3', 'Bg4']",Scandinavian Defense
648,597,0-1,"['e4', 'd5', 'exd5', 'Nh6', 'c4', 'Bg4', 'f3', 'Bf5', 'Nc3', 'e5']",Scandinavian Defense
512,668,0-1,"['e4', 'd5', 'Bb5+', 'c6', 'Ba4', 'Nf6', 'd4', 'Bg4', 'f3', 'Bh5']",Scandinavian Defense
1186,1171,0-1,"['e4', 'd5', 'exd5', 'c5', 'Nc3', 'Nf6', 'Bc4', 'e6', 'dxe6', 'Bxe6']",Scandinavian Defense
1191,1185,0-1,"['e4', 'd5', 'Bb5+', 'c6', 'Bd3', 'Nf6', 'f3', 'e5', 'exd5', 'cxd5']",Scandinavian Defense
900,893,1-0,"['e4', 'd5', 'd4', 'dxe4', 'Nc3', 'Nf6', 'Bg5', 'Bf5', 'Bxf6', 'exf6']",Scandinavian Defense
1071,1076,1-0,"['e4', 'd5', 'f3', 'e6', 'e5', 'g6', 'd4', 'Bg7', 'Nh3', 'Nd7']",Scandinavian Defense
912,758,0-1,"['e4', 'd5', 'Nc3', 'Nf6', 'd3', 'e6', 'Nf3', 'Bb4', 'Bd2', 'Nc6']",Scandinavian Defense
747,792,1-0,"['e4', 'd5', 'Qf3', 'd4', 'd3', 'e5', 'Be2', 'f6', 'Bd2', 'Nc6']",Scandinavian Defense
852,795,0-1,"['e4', 'd5', 'Bb5+', 'c6', 'Bd3', 'Qd6', 'Nf3', 'Qe6', 'Ng5', 'Qe5']",Scandinavian Defense
941,936,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'a6', 'Nf3', 'h6', 'Nc3', 'Nc6']",Scandinavian Defense
744,730,1-0,"['e4', 'd5', 'Nc3', 'c6', 'Nf3', 'Bg4', 'h3', 'Bh5', 'g4', 'Bg6']",Scandinavian Defense
745,791,0-1,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Bg4+', 'Be2', 'Bxe2+']",Scandinavian Defense
1090,1093,1-0,"['e4', 'd5', 'e5', 'd4', 'Nf3', 'Bg4', 'Be2', 'Qd5', 'O-O', 'd3']",Scandinavian Defense
822,698,1-0,"['e4', 'd5', 'Qf3', 'c6', 'c4', 'e6', 'cxd5', 'cxd5', 'exd5', 'exd5']",Scandinavian Defense
857,929,0-1,"['e4', 'd5', 'e5', 'd4', 'd3', 'c5', 'Bf4', 'e6', 'Nf3', 'Nc6']",Scandinavian Defense
736,858,1-0,"['e4', 'd5', 'Nc3', 'Nc6', 'exd5', 'Ne5', 'Bb5+', 'Bd7', 'Nf3', 'f6']",Scandinavian Defense
1071,1078,0-1,"['e4', 'd5', 'e5', 'Bf5', 'd4', 'e6', 'f4', 'c5', 'dxc5', 'Bxc5']",Scandinavian Defense
1058,1119,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nd5', 'e6', 'Nf4', 'e5', 'Nd5', 'c6']",Scandinavian Defense
1196,1190,1-0,"['e4', 'd5', 'd4', 'dxe4', 'f3', 'Nc6', 'Nc3', 'exf3', 'Nxf3', 'e6']",Scandinavian Defense
855,888,1-0,"['e4', 'd5', 'exd5', 'g5', 'Nc3', 'b5', 'Bxb5+', 'Bd7', 'Bxd7+', 'Kxd7']",Scandinavian Defense
1047,1097,1-0,"['e4', 'd5', 'f3', 'dxe4', 'fxe4', 'e6', 'd4', 'c6', 'Bc4', 'c5']",Scandinavian Defense
990,1100,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nc6', 'Nc3', 'Qh4', 'g3', 'Qxd4']",Scandinavian Defense
1045,940,0-1,"['e4', 'd5', 'd3', 'Nc6', 'Nf3', 'e5', 'Nc3', 'Bb4', 'Bd2', 'Bxc3']",Scandinavian Defense
729,869,0-1,"['e4', 'd5', 'exd5', 'Qd6', 'Nc3', 'c6', 'Bc4', 'e6', 'dxe6', 'fxe6']",Scandinavian Defense
949,913,1-0,"['e4', 'd5', 'Nc3', 'Nf6', 'Bd3', 'd4', 'Nd5', 'Nxd5', 'exd5', 'Qxd5']",Scandinavian Defense
948,1067,0-1,"['e4', 'd5', 'd4', 'dxe4', 'Nf3', 'Nc6', 'Ne5', 'Qxd4', 'Qxd4', 'Nxd4']",Scandinavian Defense
865,841,0-1,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Nf6', 'f3', 'Nc6']",Scandinavian Defense
915,923,1/2-1/2,"['e4', 'd5', 'f3', 'd4', 'd3', 'e6', 'Nh3', 'Nc6', 'Ng5', 'Nb4']",Scandinavian Defense
1086,1166,1-0,"['e4', 'd5', 'exd5', 'e5', 'c4', 'Nf6', 'Nc3', 'Bb4', 'd3', 'Bxc3+']",Scandinavian Defense
862,901,1-0,"['e4', 'd5', 'exd5', 'e6', 'dxe6', 'Bxe6', 'd4', 'Nf6', 'Nf3', 'c6']",Scandinavian Defense
886,938,1-0,"['e4', 'd5', 'f3', 'dxe4', 'fxe4', 'Qd7', 'd3', 'Nc6', 'Nc3', 'Nd4']",Scandinavian Defense
1087,1092,1-0,"['e4', 'd5', 'e5', 'g6', 'd4', 'Bg7', 'Bg5', 'Nc6', 'Bb5', 'Bd7']",Scandinavian Defense
902,854,1-0,"['e4', 'd5', 'e5', 'Bf5', 'Nc3', 'Nc6', 'd4', 'e6', 'Nf3', 'Bb4']",Scandinavian Defense
1135,1163,1/2-1/2,"['e4', 'd5', 'exd5', 'e6', 'Nc3', 'c6', 'dxc6', 'Nxc6', 'Bd3', 'Nf6']",Scandinavian Defense
1031,1049,0-1,"['e4', 'd5', 'Bc4', 'dxc4', 'Nc3', 'Nc6', 'd3', 'Nf6', 'dxc4', 'Bg4']",Scandinavian Defense
955,918,1-0,"['e4', 'd5', 'Bb5+', 'c6', 'Bd3', 'dxe4', 'Bxe4', 'Nf6', 'd3', 'Bg4']",Scandinavian Defense
1030,1013,1/2-1/2,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Nf6', 'Bc4', 'Nxe4']",Scandinavian Defense
820,772,0-1,"['e4', 'd5', 'f3', 'd4', 'Bc4', 'e5', 'f4', 'Bd6', 'Qf3', 'exf4']",Scandinavian Defense
1135,1082,1-0,"['e4', 'd5', 'e5', 'd4', 'Bc4', 'Nc6', 'Qh5', 'e6', 'Nf3', 'Qe7']",Scandinavian Defense
1068,1127,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'e5', 'c3', 'c5', 'cxd4', 'cxd4']",Scandinavian Defense
1016,1028,1-0,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'e5', 'Nf3', 'Bd6']",Scandinavian Defense
712,646,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'f6', 'Qh5+', 'g6', 'Qf3', 'Bb4+']",Scandinavian Defense
755,785,0-1,"['e4', 'd5', 'Qf3', 'd4', 'd3', 'e5', 'Bd2', 'Nf6', 'Bg5', 'Be7']",Scandinavian Defense
949,939,1-0,"['e4', 'd5', 'd4', 'dxe4', 'Bc4', 'a6', 'c3', 'b5', 'Bb3', 'Nc6']",Scandinavian Defense
1013,1013,0-1,"['e4', 'd5', 'exd5', 'g6', 'Nc3', 'Bg7', 'Nf3', 'Nf6', 'Bc4', 'e6']",Scandinavian Defense
1033,1001,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'c6', 'c3', 'Ne7', 'Bg5', 'Nd7']",Scandinavian Defense
