WhiteElo,BlackElo,Result,Moves,OpeningName
945,1030,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qc6', 'Bb5', 'Qxb5', 'Nxb5', 'Kd8']",Scandinavian Defense: Mieses-Kotroc Variation
1077,976,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'Qe6+', 'Be2', 'Nc6', 'O-O', 'Nf6']",Scandinavian Defense: Mieses-Kotroc Variation
942,951,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'Qd6', 'Nc3', 'c6', 'd4', 'Nf6']",Scandinavian Defense: Mieses-Kotroc Variation
959,877,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'd4', 'Qe4+', 'Be3', 'e6', 'Nc3', 'Qc6']",Scandinavian Defense: Mieses-Kotroc Variation
744,694,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'd4', 'Nc6', 'c4', 'Qe6+', 'Ne2', 'Qxc4']",Scandinavian Defense: Mieses-Kotroc Variation
1021,1022,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Be2', 'Qg6', 'g3', 'b6']",Scandinavian Defense: Mieses-Kotroc Variation
1121,1135,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'c4', 'Qa5', 'Nc3', 'Nc6', 'a3', 'Nf6']",Scandinavian Defense: Mieses-Kotroc Variation
1038,985,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'Be6', 'Nf3', 'Qf6']",Scandinavian Defense: Mieses-Kotroc Variation
903,960,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Be2', 'Nc6', 'Nf3', 'Qg6']",Scandinavian Defense: Mieses-Kotroc Variation
968,899,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'e6', 'Nf3', 'Qd6']",Scandinavian Defense: Mieses-Kotroc Variation
919,912,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'Qe6+', 'Be2', 'Nf6', 'c4', 'c5']",Scandinavian Defense: Mieses-Kotroc Variation
1200,1181,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Be2', 'Nf6', 'Nf3', 'Nc6']",Scandinavian Defense: Mieses-Kotroc Variation
1012,1025,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'Bg4', 'Nf3', 'Bxf3']",Scandinavian Defense: Mieses-Kotroc Variation
1049,1011,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'Nc6', 'Nf3', 'Qf6']",Scandinavian Defense: Mieses-Kotroc Variation
913,769,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'Nf6', 'Nf3', 'Qf5']",Scandinavian Defense: Mieses-Kotroc Variation
1050,1051,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qd7', 'Nf3', 'e6', 'd4', 'Nf6']",Scandinavian Defense: Mieses-Kotroc Variation
551,1050,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Bb5+', 'Qxb5', 'Nc3', 'Qe5+', 'Nge2', 'Bg4']",Scandinavian Defense: Mieses-Kotroc Variation
749,775,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'd4', 'Qe6+', 'Be2', 'Qg6', 'Bd3', 'Qxg2']",Scandinavian Defense: Mieses-Kotroc Variation
911,956,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'Nc6', 'g3', 'Nf6', 'Bg2', 'Qa5']",Scandinavian Defense: Mieses-Kotroc Variation
1006,1005,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Qe2', 'Qd7', 'Nf3', 'Qd8']",Scandinavian Defense: Mieses-Kotroc Variation
1135,1110,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'f3', 'Nf6', 'd3', 'e5', 'c4', 'Qd4']",Scandinavian Defense: Mieses-Kotroc Variation
1115,1137,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Qe2', 'Qg6', 'Nb5', 'Qxc2']",Scandinavian Defense: Mieses-Kotroc Variation
622,631,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qc6', 'h3', 'g6', 'f3', 'Nf6']",Scandinavian Defense: Mieses-Kotroc Variation
958,932,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Nge2', 'Bg4', 'd3', 'Bxe2']",Scandinavian Defense: Mieses-Kotroc Variation
1035,908,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'Bf5', 'Bd3', 'Bxd3', 'cxd3', 'Qxd3']",Scandinavian Defense: Mieses-Kotroc Variation
1189,1189,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nf3', 'e5', 'Nc3', 'Qa5', 'Bc4', 'c6']",Scandinavian Defense: Mieses-Kotroc Variation
947,936,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'Bg4', 'd4', 'Bxe2']",Scandinavian Defense: Mieses-Kotroc Variation
972,1001,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'd4', 'e6', 'Nc3', 'Bb4', 'Bd2', 'Qd8']",Scandinavian Defense: Mieses-Kotroc Variation
1197,1128,1-0,"['e4', 'd5', 'exd5', 'Qxd5', 'c4', 'Qd8', 'd3', 'Bf5', 'Nc3', 'e6']",Scandinavian Defense: Mieses-Kotroc Variation
1083,1115,0-1,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe6+', 'Qe2', 'Nc6', 'Qxe6', 'Bxe6']",Scandinavian Defense: Mieses-Kotroc Variation
