WhiteElo,BlackElo,Result,Moves,OpeningName
813,908,0-1,"['e3', 'e5', 'd4', 'e4', 'Nc3', 'a6', 'Nxe4', 'd5', 'Nc5', 'Bxc5']",Van't Kruijs Opening
1063,960,0-1,"['e3', 'g5', 'Qh5', 'Nf6', 'Qxf7+', 'Kxf7', 'b3', 'b5', 'b4', 'Bb7']",Van't Kruijs Opening
730,917,1-0,"['e3', 'd5', 'd3', 'e5', 'd4', 'e4', 'Nf3', 'exf3', 'gxf3', 'Qf6']",Van't Kruijs Opening
1168,1180,1-0,"['e3', 'g6', 'd3', 'Bg7', 'c4', 'Nf6', 'f4', 'O-O', 'Nc3', 'd6']",Van't Kruijs Opening
1090,1145,0-1,"['e3', 'e5', 'Nf3', 'Nc6', 'Be2', 'Bc5', 'd4', 'exd4', 'exd4', 'Bb6']",Van't Kruijs Opening
601,533,1-0,"['e3', 'e5', 'Nf3', 'Nf6', 'Nxe5', 'd6', 'Ng4', 'Nxg4', 'Be2', 'Nf6']",Van't Kruijs Opening
1010,881,1-0,"['e3', 'e5', 'c3', 'd6', 'h3', 'Be7', 'Qa4+', 'c6', 'b4', 'b5']",Van't Kruijs Opening
655,1030,0-1,"['e3', 'e5', 'e4', 'Nf6', 'Nf3', 'Bc5', 'Bd3', 'd6', 'Bc4', 'O-O']",Van't Kruijs Opening
977,982,0-1,"['e3', 'e5', 'Qh5', 'Nc6', 'Bc4', 'd5', 'Bb5', 'a6', 'Bxc6+', 'bxc6']",Van't Kruijs Opening
1020,965,0-1,"['e3', 'e5', 'd4', 'Nc6', 'd5', 'Nb4', 'a3', 'Na6', 'Bxa6', 'bxa6']",Van't Kruijs Opening
1110,1168,0-1,"['e3', 'e6', 'g3', 'd5', 'Bg2', 'f5', 'b3', 'Nf6', 'Bb2', 'Ne4']",Van't Kruijs Opening
593,528,0-1,"['e3', 'e5', 'a4', 'Nc6', 'c3', 'Nf6', 'Bc4', 'd5', 'Ba2', 'Bd6']",Van't Kruijs Opening
1107,1111,0-1,"['e3', 'e5', 'Bc4', 'd5', 'Bb5+', 'Bd7', 'Bxd7+', 'Qxd7', 'h3', 'Nc6']",Van't Kruijs Opening
803,936,0-1,"['e3', 'd5', 'd3', 'e6', 'e4', 'Nf6', 'exd5', 'Nxd5', 'Bd2', 'c6']",Van't Kruijs Opening
1125,980,1-0,"['e3', 'e6', 'Nc3', 'f5', 'Qf3', 'Nf6', 'd4', 'g6', 'Bd2', 'Bg7']",Van't Kruijs Opening
980,929,1-0,"['e3', 'c5', 'Nf3', 'd5', 'b3', 'Nc6', 'Bb2', 'Bf5', 'Nh4', 'g6']",Van't Kruijs Opening
1052,1084,0-1,"['e3', 'e6', 'Qe2', 'c5', 'Nf3', 'a6', 'c3', 'd5', 'Ne5', 'c4']",Van't Kruijs Opening
734,844,0-1,"['e3', 'd5', 'Nc3', 'Nf6', 'd4', 'Nc6', 'b3', 'Bg4', 'f3', 'Bh5']",Van't Kruijs Opening
1125,1139,1-0,"['e3', 'e5', 'Bc4', 'Nc6', 'Qh5', 'g6', 'Qf3', 'Nf6', 'Qxf6', 'Qxf6']",Van't Kruijs Opening
1094,1140,0-1,"['e3', 'e5', 'Bb5', 'c6', 'Bc4', 'd5', 'Bf1', 'g6', 'h3', 'Bg7']",Van't Kruijs Opening
930,1135,0-1,"['e3', 'd5', 'd4', 'e6', 'f4', 'Bd6', 'g3', 'Nf6', 'c3', 'c6']",Van't Kruijs Opening
1102,1068,1/2-1/2,"['e3', 'e6', 'g3', 'd5', 'Bg2', 'c5', 'b3', 'Qb6', 'Bb2', 'Bd7']",Van't Kruijs Opening
1044,1049,1-0,"['e3', 'e5', 'Bc4', 'c6', 'Qf3', 'd5', 'Qh5', 'dxc4', 'Qxe5+', 'Be7']",Van't Kruijs Opening
1106,946,0-1,"['e3', 'e5', 'Bb5', 'Bb4', 'Qf3', 'Nf6', 'Nh3', 'O-O', 'Bxd7', 'Bxd7']",Van't Kruijs Opening
772,945,0-1,"['e3', 'e6', 'e4', 'd5', 'd3', 'dxe4', 'c3', 'exd3', 'b3', 'd2+']",Van't Kruijs Opening
820,827,1-0,"['e3', 'e5', 'Qh5', 'Qe7', 'd4', 'e4', 'Bc4', 'Nf6', 'Qe5', 'Nc6']",Van't Kruijs Opening
905,804,0-1,"['e3', 'd5', 'Qf3', 'e5', 'Nh3', 'Nc6', 'Ng5', 'Qxg5', 'e4', 'dxe4']",Van't Kruijs Opening
943,953,0-1,"['e3', 'd5', 'c4', 'e5', 'f3', 'Be6', 'e4', 'dxe4', 'fxe4', 'Qh4+']",Van't Kruijs Opening
900,939,0-1,"['e3', 'd5', 'Be2', 'Nf6', 'd3', 'Nc6', 'Bd2', 'b5', 'Nc3', 'a6']",Van't Kruijs Opening
985,986,1/2-1/2,"['e3', 'e6', 'd4', 'd5', 'Nc3', 'Nc6', 'Nb5', 'a6', 'Nc3', 'b5']",Van't Kruijs Opening
816,821,1-0,"['e3', 'e5', 'e4', 'Nc6', 'Nf3', 'f5', 'd3', 'd6', 'Nc3', 'Nf6']",Van't Kruijs Opening
1119,1054,1-0,"['e3', 'e5', 'Qf3', 'd5', 'd4', 'e4', 'Qe2', 'Nc6', 'a3', 'h5']",Van't Kruijs Opening
986,964,1-0,"['e3', 'd5', 'Nc3', 'Nf6', 'Qe2', 'e5', 'e4', 'd4', 'Nb5', 'a6']",Van't Kruijs Opening
1128,1144,1-0,"['e3', 'd5', 'Nc3', 'e6', 'd4', 'Nf6', 'Bd2', 'c5', 'dxc5', 'Bxc5']",Van't Kruijs Opening
1114,1159,1-0,"['e3', 'd5', 'Nc3', 'e6', 'e4', 'c6', 'exd5', 'exd5', 'Qe2+', 'Kd7']",Van't Kruijs Opening
1178,1088,1-0,"['e3', 'e5', 'Bc4', 'Bc5', 'Nf3', 'd5', 'Bb3', 'Nc6', 'd4', 'exd4']",Van't Kruijs Opening
832,707,1-0,"['e3', 'b6', 'd4', 'Bb7', 'Nc3', 'g6', 'Nf3', 'Bg7', 'Be2', 'Nc6']",Van't Kruijs Opening
811,797,1-0,"['e3', 'e5', 'f3', 'd6', 'd3', 'Nc6', 'c3', 'Be6', 'b3', 'Nf6']",Van't Kruijs Opening
823,825,0-1,"['e3', 'e5', 'Nf3', 'Nc6', 'Ng1', 'Nf6', 'Nf3', 'd6', 'Ng1', 'd5']",Van't Kruijs Opening
765,910,0-1,"['e3', 'b6', 'Nf3', 'Bb7', 'c3', 'Nc6', 'Bd3', 'f6', 'Na3', 'Nh6']",Van't Kruijs Opening
680,804,0-1,"['e3', 'd5', 'd4', 'Bf5', 'g4', 'Be4', 'f3', 'Bg6', 'Bg2', 'e6']",Van't Kruijs Opening
1147,991,1-0,"['e3', 'h5', 'd4', 'a5', 'Bd3', 'Nf6', 'Ne2', 'd5', 'O-O', 'Bg4']",Van't Kruijs Opening
1005,950,1/2-1/2,"['e3', 'c5', 'd4', 'g6', 'Nf3', 'd5', 'dxc5', 'Nf6', 'Nc3', 'Bg7']",Van't Kruijs Opening
1126,1154,1-0,"['e3', 'e6', 'b3', 'd6', 'Bb2', 'a6', 'Nc3', 'h6', 'Nce2', 'Ne7']",Van't Kruijs Opening
1046,1157,1-0,"['e3', 'e5', 'a3', 'd5', 'h3', 'Nc6', 'c4', 'dxc4', 'Bxc4', 'Nf6']",Van't Kruijs Opening
1127,1194,0-1,"['e3', 'e5', 'd4', 'd6', 'd5', 'Nf6', 'Bb5+', 'c6', 'dxc6', 'bxc6']",Van't Kruijs Opening
1053,1078,0-1,"['e3', 'd5', 'b3', 'Nc6', 'Bb2', 'e5', 'c4', 'd4', 'Nf3', 'dxe3']",Van't Kruijs Opening
886,918,0-1,"['e3', 'e5', 'd4', 'd6', 'Bb5+', 'Nc6', 'Nc3', 'Bd7', 'Bc4', 'Na5']",Van't Kruijs Opening
